"SeriousDlqin2yrs";"RevolvingUtilizationOfUnsecuredLines";"age";"NumberOfTime30.59DaysPastDueNotWorse";"DebtRatio";"MonthlyIncome";"NumberOfOpenCreditLinesAndLoans";"NumberOfTimes90DaysLate";"NumberRealEstateLoansOrLines";"NumberOfTime60.89DaysPastDueNotWorse";"NumberOfDependents"
"N";0,233809776;30;0;0,036049682;3300;5;0;0;0;0
"N";0,01879812;51;0;0,53152876;6501;7;0;2;0;2
"N";0,548458062;64;0;0,209891754;11362;7;0;1;0;2
"N";0,034421473;69;0;0,042383047;2500;17;0;0;0;1
"N";0,704073982;28;1;0,155201143;4200;8;0;0;0;0
"N";0,186868556;57;0;0,313812313;7000;9;0;2;0;0
"N";0,363636364;26;0;0,00999001;1000;1;0;0;0;0
"N";0,71998531;41;1;0,539554464;5700;14;0;1;0;0
"N";0,070853769;55;0;0,073147745;13793;4;0;1;0;0
"N";0,027399502;69;0;0,00803428;5600;3;0;0;0;0
"N";0,122295933;29;0;0,694646949;4800;5;0;1;0;0
"N";0,080564168;60;0;0,487288997;4916;15;0;2;0;0
"N";0,24535301;37;0;0,288417167;6500;11;1;1;1;0
"N";0,032617977;75;0;0,006799093;7500;4;0;0;0;0
"N";0,018886792;80;0;0,003478779;10060;5;0;0;0;0
"N";0,096737158;47;0;0,009748781;8000;2;0;0;0;2
"N";0,186987534;52;0;0,023993145;3500;4;0;0;0;0
"N";0,006541851;68;0;0,108089191;10000;10;0;2;0;1
"N";0,06790706;46;0;0,149103029;10200;6;0;2;0;0
"N";0,015271802;68;0;0,12290366;8168;6;0;0;0;0
"N";0,444837661;58;0;0,366545247;14000;9;0;2;1;4
"N";0,011498563;77;0;0,001998002;1000;1;0;0;0;0
"N";0,093962275;55;0;0,112051635;9450;6;0;2;0;0
"N";0,21955042;54;0;0,315983758;5417;20;0;2;0;1
"N";0,147996253;55;0;0,323088235;6799;5;0;1;0;0
"N";0,130902106;48;1;0,427882174;3937;17;0;1;0;0
"N";0,54699881;50;0;0,748071979;3500;9;0;2;0;3
"N";0,072277109;34;0;0,025911708;2083;2;0;0;0;0
"N";0,050789842;30;0;0,315171207;4000;4;0;1;0;1
"N";0;28;0;0,144616356;3166;7;0;0;0;0
"N";0;50;1;0,726566993;3477;5;0;1;0;1
"N";0,323719804;63;0;0,610841267;5146;9;0;2;0;2
"N";0,170103002;36;0;0,138461538;7734;8;0;0;0;0
"N";0,13527952;58;0;0,342005076;9455;11;0;2;0;2
"N";0,676195456;55;0;0,436665827;3970;10;1;1;0;0
"Y";0;25;0;0,152896812;2916;3;0;0;1;0
"N";0,231692268;40;0;0,119660709;3300;7;0;0;0;0
"N";0,311954668;61;0;0,269281443;9866;12;0;2;0;2
"N";0,030173038;64;0;0,17386957;9000;8;0;1;0;0
"N";0,017508178;73;1;0,135589153;4166;12;0;1;0;0
"N";0,080288098;37;0;0,322446259;6000;7;0;1;0;0
"N";0,034833091;67;0;0,460246187;12916;9;0;2;0;0
"N";0,053431552;41;0;0,20364404;9000;3;0;1;0;0
"N";0,112321289;53;0;0,266909775;8500;9;0;1;0;5
"N";0,634327056;49;1;0,123125125;15000;7;0;0;0;1
"N";0,034645112;65;0;0,125189985;12500;4;0;1;0;1
"N";0,412398622;28;0;0,037259615;4991;5;0;0;0;0
"N";0,267541336;59;0;0,637607437;5700;13;0;2;0;1
"N";0,029816467;68;0;0,175139978;4464;12;0;1;0;1
"N";0,051368557;68;0;0,445277361;4668;10;0;1;0;2
"Y";0,220823719;46;1;0,637749121;1705;5;0;0;0;0
"N";0;44;0;0,326383681;6666;4;0;2;0;1
"N";0,909538698;53;1;0,595653913;7500;16;0;1;0;1
"N";0,9999999;47;0;0,092163472;9493;2;2;0;1;0
"N";0,9999999;62;0;0;5480;3;0;0;0;0
"N";0,679813777;83;0;0,689589756;4216;6;0;2;0;0
"N";0,035940506;46;0;0,271186441;6666;10;0;1;0;3
"N";0,865423051;48;0;0,075848303;500;1;0;0;0;0
"N";0,696411671;52;0;0,408871921;11000;11;0;1;0;4
"N";0,730271957;36;1;0,632794037;5500;10;0;2;0;0
"N";0,948978489;57;0;0,043744532;8000;3;0;0;0;1
"N";0,022890604;37;0;0,288477299;6100;16;0;1;0;0
"N";0,283821988;63;0;0,750200803;1244;9;0;0;0;0
"N";0,067259209;29;1;0,168340507;2090;3;0;0;0;0
"N";0,687779097;62;0;0,249471161;7090;15;0;0;0;0
"N";0,9999999;30;0;0,090341011;5600;1;0;0;0;0
"N";0,507972665;69;2;0,193935355;3000;10;2;0;2;0
"N";0,9999999;37;0;0,184625639;4500;2;0;0;0;1
"N";0,457526639;51;0;0,333583302;8000;16;0;2;0;2
"N";0,012586354;79;0;0,009596162;2500;11;0;0;0;0
"N";0,007501937;63;0;0,278226307;8050;13;0;2;0;3
"N";0,267905614;76;0;0,285452994;8200;12;0;0;0;0
"N";0,702493864;63;0;0,582162622;4697;8;0;2;0;1
"N";0,006666097;27;0;0,000268637;7444;5;0;0;0;0
"N";0,9999999;35;1;0,092985318;3064;1;0;0;0;3
"N";0,07083751;64;0;0,255290785;6000;6;0;0;0;1
"N";0,03157211;39;0;0,644706486;3900;14;0;1;0;1
"N";0,9999999;79;0;0,130140954;5178;6;0;1;0;0
"N";0,212464485;58;0;0,518991188;3290;10;0;1;0;1
"N";0,006956358;52;0;0,003278689;2439;4;0;0;0;0
"N";0,073251754;51;0;0,446688128;10250;9;0;1;0;2
"N";0;23;0;0;3500;1;0;0;0;1
"N";0,028910707;52;0;0,013543599;5389;7;0;0;0;2
"N";0,799981673;61;3;0,671076012;5064;19;0;3;1;0
"N";0,740635161;39;0;0,432010059;5566;7;0;1;0;0
"N";0;37;0;0,177007047;7236;5;0;1;0;3
"N";0,057867667;81;0;0,145685279;3939;13;0;0;0;0
"N";0,540204354;34;0;0,034395414;7500;3;1;0;0;0
"N";0,640927271;53;4;0,52409692;11266;17;0;2;0;3
"N";0,058271403;76;0;0,374304267;4311;7;0;1;0;0
"N";0,719305764;64;0;0,186225718;6228;5;0;1;0;0
"N";0,173428408;51;1;0,086269282;5250;11;0;0;0;0
"N";0,401789055;55;0;0,412779302;2550;11;0;0;0;0
"N";0;75;0;0,205971968;1640;4;0;0;0;1
"N";0,500234532;46;0;0,278025952;4700;10;0;1;0;1
"Y";0,814154511;50;1;0,297139683;3600;8;0;1;1;1
"Y";0,640058527;39;0;0,055984556;9841;9;0;0;0;2
"N";0,581815774;45;0;0,724784402;8000;11;0;2;0;0
"N";0,084826988;59;0;0,53418212;3612;9;0;2;0;0
"N";0,285342534;38;0;0,08951092;3250;4;0;0;0;3
"N";0,584844623;60;0;0,293637575;6003;11;0;1;0;0
"Y";0,339503567;89;1;0,549380248;2500;9;3;0;1;0
"N";0,064835195;56;2;0,197624587;8166;10;0;1;0;0
"N";0,697812691;31;0;0,236980252;12000;10;0;0;0;1
"N";0,9999999;40;0;0,185755935;2400;1;2;0;0;0
"N";0,155644438;56;0;0,336831584;2000;5;0;1;0;0
"N";0;51;0;0,238076192;10000;6;0;1;0;0
"N";0,250818316;36;0;0,240143984;5833;6;0;2;0;1
"N";0,021741679;70;0;0,187762448;5000;11;0;1;0;0
"N";0,016995185;62;0;0,002301937;5212;4;0;0;0;0
"N";0,65854007;55;0;0,489714904;5541;6;0;1;0;0
"N";0,883182488;49;0;0,183736947;4500;18;0;0;0;2
"N";0;33;0;0,238212526;2841;9;0;0;0;0
"N";0,281115558;69;0;0,162186181;4500;10;0;0;0;1
"N";0,133688867;49;0;0,093522183;4800;7;0;0;0;2
"N";0,827151013;56;1;0,219974716;8700;8;0;0;1;1
"N";0,914867126;40;0;0,517037339;4900;7;0;1;0;1
"N";0,175434349;47;0;0,149077983;4500;9;0;0;0;0
"N";0,023114333;64;0;0,513540291;9083;16;0;3;0;0
"N";0,529411765;26;1;0,017052375;820;1;0;0;0;0
"N";0,9999999;32;0;0,177955511;4000;1;2;0;0;0
"N";0,106517279;40;0;0,263151915;8800;17;0;3;0;4
"N";0,160899231;33;0;0,182363527;3333;13;0;0;0;0
"N";0,092392056;71;2;0,190062303;13000;7;0;1;0;0
"N";0,045516721;40;0;0,090355422;11000;12;0;0;0;3
"N";0,410946459;56;0;0,712194056;4575;16;0;1;0;0
"N";0,141853991;79;0;0,812870978;3200;8;0;2;0;0
"N";0,084589254;76;0;0,044093178;1201;8;0;0;0;0
"N";0;63;0;0,052672049;2600;3;0;0;0;1
"N";0;55;0;0,369192131;7166;7;0;3;0;1
"N";0,025711593;55;0;0,540702656;3500;8;0;1;0;2
"Y";0,02331266;58;0;0,632371083;4052;13;1;2;0;0
"N";0,077358439;44;0;0,324267573;10000;10;0;2;0;0
"N";0,072377744;48;0;0,399050079;12000;9;0;2;0;0
"N";0,228591229;38;1;0,181233062;2951;4;0;0;0;0
"N";0;59;1;0,531464095;7881;8;2;1;0;0
