"SeriousDlqin2yrs";"RevolvingUtilizationOfUnsecuredLines";"age";"NumberOfTime30.59DaysPastDueNotWorse";"DebtRatio";"MonthlyIncome";"NumberOfOpenCreditLinesAndLoans";"NumberOfTimes90DaysLate";"NumberRealEstateLoansOrLines";"NumberOfTime60.89DaysPastDueNotWorse";"NumberOfDependents"
"N";0,65818014;38;1;0,085113375;3042;2;1;0;0;0
"N";0,392994586;58;2;0,436102527;5500;15;0;1;0;0
"N";0,881836362;50;3;0,567858035;4000;9;0;1;0;1
"N";0,9999999;75;1;0,134078212;3400;1;0;1;0;1
"N";0,469056842;31;0;0,048211004;9250;4;0;0;0;1
"N";0,074861676;66;0;0,208842479;4500;3;0;1;0;0
"N";0,791173628;44;0;0,51241535;3100;5;0;1;0;0
"N";0,24535301;37;0;0,288417167;6500;11;1;1;1;0
"N";0,363199686;32;0;0,480523957;2900;4;0;1;0;0
"N";0,003108849;57;0;0,258939285;8333;7;0;1;0;0
"N";0,114830941;46;0;0,026235802;6250;6;0;0;0;3
"N";0,9999999;62;0;0,664221287;8314;8;0;3;0;0
"N";0,096737158;47;0;0,009748781;8000;2;0;0;0;2
"N";0,186987534;52;0;0,023993145;3500;4;0;0;0;0
"N";0,006541851;68;0;0,108089191;10000;10;0;2;0;1
"N";0,317975796;34;0;0,297933792;4500;11;0;2;0;0
"N";0,444837661;58;0;0,366545247;14000;9;0;2;1;4
"N";0;59;0;0,351699622;4500;12;0;1;0;0
"N";0;48;0;0,517468688;4550;7;0;2;0;0
"N";0,047311582;51;0;0,100920343;3150;5;0;0;0;0
"N";0,9999999;38;0;0,43369976;5821;7;0;1;0;4
"N";0,21286031;36;0;0,563752087;9583;10;0;2;0;1
"N";0,147712223;40;0;0,034847816;6800;6;0;0;0;3
"N";0;50;1;0,726566993;3477;5;0;1;0;1
"N";0,03833451;56;0;0,438912218;5000;7;0;2;0;0
"N";0,101430135;80;1;0,016196761;5000;9;0;0;0;0
"N";0,035489848;69;0;0,308438695;3400;9;0;1;0;0
"N";0,311954668;61;0;0,269281443;9866;12;0;2;0;2
"N";0,030173038;64;0;0,17386957;9000;8;0;1;0;0
"N";0,021978375;40;0;0,443755624;10000;12;0;5;0;2
"N";0,046640328;92;1;0,034326669;2650;13;0;0;0;0
"N";0,593985244;63;0;0,332698534;5250;4;0;2;0;0
"N";0,333060631;52;3;0,700153374;5215;15;0;2;1;0
"N";0,260271523;44;0;0,296854804;6962;11;0;1;0;0
"N";0,025601772;63;1;0,262773723;10000;8;0;1;0;0
"N";0,083945242;64;0;0,588073078;2900;6;0;1;0;0
"N";0,9999999;68;0;0,040493251;6000;0;0;0;0;0
"N";0,732660667;44;2;0,14041952;9200;15;0;1;0;0
"N";0,012151003;78;0;0,008886914;4500;12;0;0;0;0
"N";0;63;0;0,007988922;9387;9;0;0;0;0
"N";0,9999999;61;0;0,529548989;1285;3;0;1;0;0
"N";0,029816467;68;0;0,175139978;4464;12;0;1;0;1
"N";0,181713732;57;0;0,130453416;11666;17;0;1;0;1
"N";0;44;0;0,326383681;6666;4;0;2;0;1
"N";0,112855258;64;0;0,307576329;2652;6;0;1;0;0
"N";0,9999999;47;0;0,092163472;9493;2;2;0;1;0
"N";0,144878408;66;0;0,28446242;8900;9;0;1;0;0
"N";0,897203427;68;0;0,787803049;4000;8;0;2;0;0
"N";0,035940506;46;0;0,271186441;6666;10;0;1;0;3
"N";0,948762809;27;0;0,144948404;4166;5;0;0;0;0
"N";0,948978489;57;0;0,043744532;8000;3;0;0;0;1
"N";0;59;0;0;4200;7;0;0;0;1
"N";1,00264667;38;2;0,472542946;3550;8;1;0;1;4
"N";0,022890604;37;0;0,288477299;6100;16;0;1;0;0
"N";0,067259209;29;1;0,168340507;2090;3;0;0;0;0
"N";0,284236153;45;1;0,318890815;7500;9;0;1;0;2
"N";0,100773109;41;0;0,199761673;9230;7;0;1;0;0
"N";0,052653171;43;0;0,572292191;1984;9;0;0;0;4
"N";0,507972665;69;2;0,193935355;3000;10;2;0;2;0
"N";0,292541492;74;0;0,164917541;2000;3;0;0;0;0
"Y";0,739146488;63;1;0,285156885;6150;12;0;0;0;1
"N";0,267905614;76;0;0,285452994;8200;12;0;0;0;0
"N";0,742436041;52;0;0,414081023;9700;10;0;2;0;0
"N";0,9999999;42;1;0,113421853;6250;3;3;0;1;2
"N";0,9999999;35;1;0,092985318;3064;1;0;0;0;3
"N";0,9999999;79;0;0,130140954;5178;6;0;1;0;0
"N";0,003851709;81;0;0,000822143;3648;1;0;0;0;1
"N";0,212464485;58;0;0,518991188;3290;10;0;1;0;1
"N";0,026944485;41;0;0,686736475;4583;8;0;3;0;0
"N";0;57;0;0,785229953;6783;8;0;3;0;0
"N";0,9999999;40;1;0,19170579;3833;3;2;0;0;2
"N";0,9999999;33;1;0,257707218;5416;2;2;1;0;1
"N";0,07807727;60;0;0,566105156;3917;14;0;1;0;2
"N";0,077958915;57;0;0,053530226;6500;19;0;0;0;0
"N";0,073123172;33;0;0,216405216;5290;9;0;0;0;0
"N";0,10088331;52;1;0,280494456;5500;6;1;1;0;2
"N";0,540204354;34;0;0,034395414;7500;3;1;0;0;0
"N";0,173428408;51;1;0,086269282;5250;11;0;0;0;0
"N";0,301152442;46;0;0,254661625;7668;10;0;1;0;3
"N";0,067512585;43;0;0,44723563;9115;4;0;2;0;0
"N";0,993335555;31;0;0,068227425;4484;6;0;0;0;1
"N";0,018124667;60;0;0,023181455;1250;4;0;0;0;1
"Y";0,9999999;54;0;0,228402866;2372;2;0;0;1;0
"N";0,611388611;22;0;0,347066167;800;4;0;0;0;0
"N";0,029692431;58;2;0,287187752;6204;19;0;1;0;0
"Y";0,640058527;39;0;0,055984556;9841;9;0;0;0;2
"N";0,312068793;55;1;0,127071823;1266;5;0;0;0;0
"N";0,014049887;37;0;0,674399608;6120;9;0;1;0;0
"N";0,329609837;36;0;0,437743191;3597;16;0;2;0;2
"N";0,732711215;29;0;0,338531127;8400;10;0;1;0;0
"Y";0,339503567;89;1;0,549380248;2500;9;3;0;1;0
"N";0,064835195;56;2;0,197624587;8166;10;0;1;0;0
"N";0,650432993;61;0;0,368063194;10000;10;0;1;0;1
"N";0,30248201;46;0;0,348057208;7900;12;0;1;0;2
"N";0,155644438;56;0;0,336831584;2000;5;0;1;0;0
"N";0,293041811;45;0;0,373940678;3775;5;0;1;0;3
"N";0,106531463;78;0;0,024303074;5595;9;0;0;0;0
"N";0,181579946;54;0;0,3539428;6048;9;0;1;0;1
"N";0,024100447;86;0;0,010791367;2223;6;0;0;0;0
"N";0,122976319;50;0;0,454103343;3289;6;0;1;0;1
"N";0,095634788;36;0;0,175266904;2247;4;0;0;0;1
"N";0,184476515;32;0;0,444956049;7166;11;0;2;0;0
"N";0,046740048;57;0;0,404799866;11916;13;0;3;0;0
"Y";0,402345742;37;0;0,337622356;12667;16;0;2;0;3
"N";0,010350125;52;0;0,258589038;3812;6;0;1;0;1
"N";0;36;0;0,370418677;7666;4;0;1;0;2
"N";0;33;0;0,238212526;2841;9;0;0;0;0
"N";0,281115558;69;0;0,162186181;4500;10;0;0;0;1
"N";0,054940099;35;0;0,662152897;5833;10;0;2;0;2
"Y";0,990764426;36;2;0,361340457;4117;4;0;0;0;1
"N";0,386084012;49;0;0,166452387;11666;17;0;0;0;3
"N";0,008287427;55;0;0,115171335;7032;8;0;1;0;0
"N";0,091106715;63;0;0,035418452;3500;5;0;0;0;0
"N";0,529411765;26;1;0,017052375;820;1;0;0;0;0
"N";0,410946459;56;0;0,712194056;4575;16;0;1;0;0
"N";0,37504998;64;0;0,011195522;2500;4;0;0;0;0
"N";0,985092264;48;0;0,376905611;3082;4;0;1;0;0
"N";0,473663158;36;1;0,650674663;2000;8;0;0;0;0
"Y";0,987668722;39;5;0,691279186;5010;14;0;2;0;2
"N";0,659178931;39;0;0,285324697;5866;6;0;1;0;1
"N";0,048540543;55;1;0,215576215;5700;9;0;1;0;0
"N";0,077358439;44;0;0,324267573;10000;10;0;2;0;0
"N";0,082452074;57;0;0,89117395;3500;12;0;1;0;1
"N";0,015293506;50;0;0,372513562;1105;13;0;0;0;0
"N";0,059183801;26;0;0,067061144;1520;7;0;0;0;0
"N";0,211859605;55;0;0,128716003;6323;8;0;0;0;1
"N";0,00054943;59;0;0;2236;4;0;0;0;0
"N";0,01087466;82;0;0,001287001;7769;6;0;0;0;0
"N";0,014646523;26;0;0,121568627;1274;7;0;0;0;0
"N";0,556142972;58;0;0,177274242;3000;2;0;0;0;0
"Y";1,25748503;26;0;0,129805014;1794;1;2;0;1;0
"Y";0,962946947;50;0;0,68127587;4106;8;0;1;1;0
"N";0,160226787;31;0;0,356018715;2350;5;0;0;0;0
"N";0,067400749;26;0;0,166517857;4479;10;0;0;0;0
"N";0,19877594;83;0;0,217065334;2800;9;0;0;0;0
"N";0,001876594;79;0;0,01332778;2400;10;0;0;0;0
"N";0,107720423;47;0;0,216280839;9200;12;0;3;0;2
"N";0,01339933;71;0;0,01283697;2336;3;0;0;0;1
"N";0,547124146;40;0;0,121319069;9066;6;0;0;0;4
"N";0,835311508;31;1;0,332527053;7854;9;0;1;0;0
"N";0,047294357;57;0;0,447142596;5476;14;0;1;0;0
"Y";0,778719498;81;0;0,53801306;4287;11;0;2;0;0
"N";0,119460647;34;0;0,32224953;6916;5;0;1;0;0
"N";0,128419662;59;0;0,226433961;11000;10;0;1;0;0
"N";0,108983159;53;0;0,31035201;4800;10;0;1;0;0
"N";0,165720783;68;0;0,311916978;8575;10;0;1;0;0
"N";0,194625748;31;1;0,283571758;4333;20;0;0;0;0
"N";0,48987523;34;0;0,319171724;2800;3;0;0;0;1
"N";0,819115784;54;0;0,528381219;2853;7;0;1;0;0
"N";0,122544324;57;0;0,42893401;4333;9;0;1;0;1
"N";0,106475741;32;0;0,802308265;2685;5;0;1;0;1
"N";0,518186405;73;0;0,504887091;8900;17;0;1;0;1
"Y";0,514353049;39;0;0,984408835;2308;15;0;1;0;1
"N";0,222506167;59;0;0,271467415;11400;9;0;2;0;0
"N";0,127159603;63;0;0,454098361;5489;20;0;4;0;0
"N";0,156645781;45;1;0,560214893;6700;8;0;2;0;2
"N";0,03737868;76;1;0,372787227;2880;8;0;1;0;0
"N";0,9999999;47;0;0,370691923;3800;6;0;0;0;1
"N";0,083781617;46;0;0,421201915;5640;16;0;1;0;2
"N";0,040547951;74;0;0,020736901;5400;5;0;0;0;0
"N";0,630901661;73;0;0,047400612;4577;3;0;0;0;0
"N";0,352319991;43;0;0,246784845;8630;8;0;0;0;1
"N";0;41;0;0,346902339;5600;4;0;1;0;0
"N";0,951209758;36;0;0,061445262;2310;2;0;0;0;2
"N";0,275946359;57;1;0,283411686;13400;10;0;1;0;0
"N";0,102950576;43;1;0,252274773;10000;18;0;3;0;3
"N";0,040283239;54;0;0,135553584;12400;11;0;1;0;0
"N";0,181442474;32;0;0,067877957;8750;2;0;0;0;0
"N";0,9999999;42;0;0,217236784;2250;1;0;0;0;2
"N";0,02464305;75;0;0,009947892;4221;10;0;0;0;1
"N";0,9999999;32;0;0,178302196;3050;1;0;0;1;2
"N";0,9999999;38;1;0,134071341;6503;1;0;0;0;3
"N";0,14938018;54;1;0,428758481;8400;14;0;1;0;1
"N";0,016221174;65;0;0,194925029;2600;9;0;2;0;3
"N";0,9999999;27;0;0,153061224;2253;3;0;0;0;0
"N";0,391214634;39;1;0,287181335;11100;8;0;2;0;2
"N";0,098407733;47;0;0,069744476;8100;6;0;0;0;2
"Y";0,829560586;34;1;0,248187953;4000;6;0;1;0;2
"N";0,50009998;34;0;0,211071821;8200;3;0;1;0;0
"N";0,022135842;48;0;0,003547815;6200;2;0;0;0;1
"N";0,088911089;35;0;0,000526177;3800;3;0;0;0;0
"N";0,030761368;62;0;0,015661446;3000;5;0;1;0;0
"N";0,218991588;54;0;0,586137954;3000;13;0;1;0;0
"N";0;45;0;0,365016502;7574;10;0;2;0;1
"N";0,002072256;58;0;0,210742857;8749;12;0;2;0;0
"N";0,220201834;34;0;0,462354974;4050;10;0;2;0;1
"N";0,179110121;41;0;0,27491843;9500;10;1;1;0;2
"N";0,247135843;34;0;0,090524087;5666;3;0;0;0;1
"Y";0,00073798;41;0;0,493126718;4000;4;0;1;0;2
"N";0,28927034;48;0;0,691654173;2000;7;0;1;0;2
"N";0,077246781;32;0;0,368421053;4084;7;0;1;0;0
"N";0,966275454;37;0;0,683523654;4290;8;0;1;0;2
"N";0,075327056;62;0;0,071378477;12832;7;0;1;0;0
"N";0,011073664;52;0;0,012372578;12850;4;0;0;0;3
"N";0,083766009;53;0;0,34210815;9116;6;0;2;0;1
"N";0,9999999;37;0;0,377631696;11256;11;0;2;0;1
"N";0,099190841;57;0;0,604398743;3500;9;0;2;0;0
"N";0,612030682;74;2;0,76967187;3138;10;1;2;0;0
"N";0;46;0;0,450288902;5018;9;0;1;0;0
