"SeriousDlqin2yrs";"RevolvingUtilizationOfUnsecuredLines";"age";"NumberOfTime30.59DaysPastDueNotWorse";"DebtRatio";"MonthlyIncome";"NumberOfOpenCreditLinesAndLoans";"NumberOfTimes90DaysLate";"NumberRealEstateLoansOrLines";"NumberOfTime60.89DaysPastDueNotWorse";"NumberOfDependents"
"N";0,213178682;74;0;0,375606969;3500;3;0;1;0;1
"N";0,548458062;64;0;0,209891754;11362;7;0;1;0;2
"N";0,200923382;43;0;0,430046338;12300;10;0;2;0;0
"Y";0,025655677;38;0;0,475841386;3000;7;0;1;0;2
"N";0,075426584;32;0;0,085512189;7916;6;0;0;0;0
"N";0;64;0;0,073538769;11000;9;0;1;0;0
"N";0,881836362;50;3;0,567858035;4000;9;0;1;0;1
"N";0,718705378;28;0;0,170125614;3661;4;0;0;0;1
"N";0,028562367;51;0;0,306381499;5750;5;0;1;0;0
"N";0,655569945;35;0;0,261609907;5813;10;0;0;0;2
"N";0,651603452;58;0;0,241135663;7783;11;0;1;0;0
"N";0,265898391;36;0;0,262611807;8384;6;0;2;0;1
"N";0,460376317;37;0;0,074155949;4975;6;0;0;0;0
"N";0,029164236;31;0;0,395031809;3300;10;0;1;0;0
"N";0;58;0;0,316144874;4886;9;0;1;0;1
"N";0,010531379;57;0;0,280664917;5714;6;0;1;0;0
"N";0,363199686;32;0;0,480523957;2900;4;0;1;0;0
"N";0,888008615;44;0;0,299246282;4908;8;0;0;0;1
"N";0,114830941;46;0;0,026235802;6250;6;0;0;0;3
"N";0,018886792;80;0;0,003478779;10060;5;0;0;0;0
"N";0,186987534;52;0;0,023993145;3500;4;0;0;0;0
"N";0,06790706;46;0;0,149103029;10200;6;0;2;0;0
"N";0,51712072;31;0;0,123752495;500;3;0;0;0;0
"N";0,297594642;67;0;0,239507959;4145;13;0;0;0;0
"N";0,444837661;58;0;0,366545247;14000;9;0;2;1;4
"N";0;61;0;0,2226598;3300;14;0;1;0;0
"N";0;59;0;0,351699622;4500;12;0;1;0;0
"N";0,163037489;81;0;0,086482558;2751;7;0;0;0;1
"N";0,21955042;54;0;0,315983758;5417;20;0;2;0;1
"N";0,116676791;31;0;0,343593791;3800;7;0;1;0;0
"N";0;48;2;0,370876375;3000;14;0;1;0;5
"N";0,050789842;30;0;0,315171207;4000;4;0;1;0;1
"N";0,040795358;49;0;0,801999355;3100;11;0;1;0;0
"N";0,323719804;63;0;0,610841267;5146;9;0;2;0;2
"N";0,008632035;79;0;0,365151154;4200;9;0;1;0;0
"N";0,714980139;55;0;0,47090194;15000;12;0;2;0;3
"N";1,095083357;53;5;0,536703799;3500;7;1;1;2;0
"N";0,231692268;40;0;0,119660709;3300;7;0;0;0;0
"N";0,035489848;69;0;0,308438695;3400;9;0;1;0;0
"N";0,045423864;64;0;0,181311286;5200;4;0;1;0;0
"N";0,137609462;49;0;0,429533892;7272;11;0;2;0;0
"N";0,030173038;64;0;0,17386957;9000;8;0;1;0;0
"N";0,443696851;27;0;0,024340075;5833;4;0;0;0;0
"N";0,9999999;62;0;0,04965839;6000;1;0;0;0;0
"N";0,593985244;63;0;0,332698534;5250;4;0;2;0;0
"N";0,611865678;72;0;0,04578345;7600;3;0;1;0;0
"N";0,260271523;44;0;0,296854804;6962;11;0;1;0;0
"N";0,025601772;63;1;0,262773723;10000;8;0;1;0;0
"N";0;76;0;0,002465931;7704;3;0;0;0;0
"N";0,083945242;64;0;0,588073078;2900;6;0;1;0;0
"N";0,034833091;67;0;0,460246187;12916;9;0;2;0;0
"N";0,002856735;73;0;0,000285687;10500;10;0;0;0;0
"N";0,053431552;41;0;0,20364404;9000;3;0;1;0;0
"N";0,112321289;53;0;0,266909775;8500;9;0;1;0;5
"N";0;23;0;0;1725;1;0;0;0;0
"N";0;63;0;0,007988922;9387;9;0;0;0;0
"N";0,019779326;76;0;0,267149259;2900;9;0;0;0;0
"N";0,9999999;61;0;0,529548989;1285;3;0;1;0;0
"N";0,051368557;68;0;0,445277361;4668;10;0;1;0;2
"N";0,909538698;53;1;0,595653913;7500;16;0;1;0;1
"N";0,371875401;29;0;0,53628857;2300;9;0;1;0;3
"N";0,547887778;29;1;0,24651504;2725;5;0;0;1;0
"N";0;55;1;0,03988553;5590;8;0;0;0;0
"N";0,035940506;46;0;0,271186441;6666;10;0;1;0;3
"N";0;32;2;0,463610776;7460;10;0;1;1;0
"N";0,063329564;37;0;0,329935275;6179;6;0;1;0;3
"N";0;37;0;0,184027338;7900;5;0;1;0;5
"N";0,426371142;62;1;0,406053995;3666;15;0;1;0;0
"N";0;59;0;0;4200;7;0;0;0;1
"N";1,00264667;38;2;0,472542946;3550;8;1;0;1;4
"N";0,155240525;52;0;0,483518065;6946;15;0;2;0;1
"N";0,727560021;38;0;0,712458746;2423;6;0;1;0;1
"N";0,687779097;62;0;0,249471161;7090;15;0;0;0;0
"N";0;29;0;0,193935355;3000;7;0;0;0;0
"N";0,053589282;87;0;0,001534331;5213;4;0;0;0;0
"N";0,399946674;28;0;0,189702574;4000;6;0;0;0;1
