"SeriousDlqin2yrs";"RevolvingUtilizationOfUnsecuredLines";"age";"NumberOfTime30.59DaysPastDueNotWorse";"DebtRatio";"MonthlyIncome";"NumberOfOpenCreditLinesAndLoans";"NumberOfTimes90DaysLate";"NumberRealEstateLoansOrLines";"NumberOfTime60.89DaysPastDueNotWorse";"NumberOfDependents"
"N";0,957151019;40;0;0,121876201;2600;4;0;0;0;1
"N";0,010351857;46;0;0,298354075;12454;13;0;2;0;2
"N";0;64;0;0,073538769;11000;9;0;1;0;0
"N";0,881836362;50;3;0,567858035;4000;9;0;1;0;1
"N";0,070853769;55;0;0,073147745;13793;4;0;1;0;0
"N";0,655569945;35;0;0,261609907;5813;10;0;0;0;2
"N";0,004264079;31;0;0,111444278;2000;6;1;0;0;2
"N";0,183316667;52;0;0,111131623;10833;14;0;2;0;1
"N";0,003749688;64;0;0,004061231;3200;5;0;0;1;0
"Y";0,734477501;45;0;0,591477634;4716;13;0;2;0;2
"N";0,023767433;83;0;0,123797734;10500;13;0;0;0;0
"N";0,096737158;47;0;0,009748781;8000;2;0;0;0;2
"N";0,51712072;31;0;0,123752495;500;3;0;0;0;0
"N";0,093962275;55;0;0,112051635;9450;6;0;2;0;0
"N";0,072277109;34;0;0,025911708;2083;2;0;0;0;0
"N";0,323719804;63;0;0,610841267;5146;9;0;2;0;2
"N";0,170103002;36;0;0,138461538;7734;8;0;0;0;0
"N";0,008632035;79;0;0,365151154;4200;9;0;1;0;0
"N";0;41;0;0,907538526;2400;6;0;1;0;0
"Y";0,085338293;51;0;0,477503628;6200;11;0;1;0;0
"N";0,043032042;64;0;0,332016389;6833;14;0;2;0;0
"N";0,593985244;63;0;0,332698534;5250;4;0;2;0;0
"N";0,611865678;72;0;0,04578345;7600;3;0;1;0;0
"N";0,181557324;36;0;0,56071964;2000;7;0;1;0;1
"N";0,147123525;41;0;0,436025621;6400;5;0;1;0;2
"N";0,025601772;63;1;0,262773723;10000;8;0;1;0;0
"N";0,034833091;67;0;0,460246187;12916;9;0;2;0;0
"N";0,09811305;49;0;0,257017809;6625;9;0;2;0;0
"N";0,010402205;68;0;0,094140517;3600;6;0;1;0;0
"N";0,051368557;68;0;0,445277361;4668;10;0;1;0;2
"Y";0,220823719;46;1;0,637749121;1705;5;0;0;0;0
"N";0;44;0;0,326383681;6666;4;0;2;0;1
"N";0,941072508;40;0;0,178184282;8855;9;0;1;0;0
"N";0,9999999;62;0;0;5480;3;0;0;0;0
"N";0,547887778;29;1;0,24651504;2725;5;0;0;1;0
"N";0,897203427;68;0;0,787803049;4000;8;0;2;0;0
"N";0;55;1;0,03988553;5590;8;0;0;0;0
"N";0,035940506;46;0;0,271186441;6666;10;0;1;0;3
"N";0,865423051;48;0;0,075848303;500;1;0;0;0;0
"N";0,544497658;32;1;0,166766647;6667;5;1;0;0;0
