"SeriousDlqin2yrs";"RevolvingUtilizationOfUnsecuredLines";"age";"NumberOfTime30.59DaysPastDueNotWorse";"DebtRatio";"MonthlyIncome";"NumberOfOpenCreditLinesAndLoans";"NumberOfTimes90DaysLate";"NumberRealEstateLoansOrLines";"NumberOfTime60.89DaysPastDueNotWorse";"NumberOfDependents"
"Y";0,766126609;45;2;0,802982129;9120;13;0;6;0;2
"N";0,957151019;40;0;0,121876201;2600;4;0;0;0;1
"N";0,221812771;43;0;0,527887839;3280;7;0;1;0;2
"N";0,602794411;25;0;0,065868263;333;2;0;0;0;0
"N";0,452515828;24;0;0,011761247;3400;1;0;0;0;0
"N";0,392994586;58;2;0,436102527;5500;15;0;1;0;0
"N";0,9999999;24;0;0,472703063;750;1;0;0;0;0
"N";0,693329681;42;2;0,257731959;2230;7;0;0;0;0
"N";0;64;0;0,073538769;11000;9;0;1;0;0
"N";0,304490668;52;0;0,808340474;3500;10;0;2;0;0
"N";0,469056842;31;0;0,048211004;9250;4;0;0;0;1
"N";0,834048027;38;0;0,393662026;13000;13;0;2;0;2
"N";0,070853769;55;0;0,073147745;13793;4;0;1;0;0
"N";0,027399502;69;0;0,00803428;5600;3;0;0;0;0
"N";0,827708197;56;0;0,369590815;6793;15;1;1;0;0
"N";0,234218112;36;0;0,116614347;8600;19;0;0;0;3
"N";0,122295933;29;0;0,694646949;4800;5;0;1;0;0
"N";0,054497069;56;0;0,492021814;4950;18;0;2;0;0
"Y";0,734477501;45;0;0,591477634;4716;13;0;2;0;2
"N";0,003108849;57;0;0,258939285;8333;7;0;1;0;0
"N";0,114830941;46;0;0,026235802;6250;6;0;0;0;3
"N";0,635415157;32;0;0,519493502;3000;4;0;1;0;1
"N";0,9999999;62;0;0,664221287;8314;8;0;3;0;0
"N";0,180972181;39;1;0,384441575;3097;7;0;1;0;3
"N";0,51712072;31;0;0,123752495;500;3;0;0;0;0
"N";0,317975796;34;0;0,297933792;4500;11;0;2;0;0
"N";0,093962275;55;0;0,112051635;9450;6;0;2;0;0
"N";0,050789842;30;0;0,315171207;4000;4;0;1;0;1
"N";0;28;0;0,144616356;3166;7;0;0;0;0
"N";0,040795358;49;0;0,801999355;3100;11;0;1;0;0
"N";0,170103002;36;0;0,138461538;7734;8;0;0;0;0
"N";0,05538241;72;0;0,089091313;4500;4;0;0;0;0
"N";0,13527952;58;0;0,342005076;9455;11;0;2;0;2
"N";0;41;0;0,907538526;2400;6;0;1;0;0
"Y";0;25;0;0,152896812;2916;3;0;0;1;0
"Y";0,786485406;44;0;0,291709578;3883;7;2;0;2;1
"N";0,03833451;56;0;0,438912218;5000;7;0;2;0;0
"N";0,9999999;55;0;0,156259612;3250;5;0;0;0;4
"N";0,035489848;69;0;0,308438695;3400;9;0;1;0;0
"N";0,021978375;40;0;0,443755624;10000;12;0;5;0;2
"N";0,046640328;92;1;0,034326669;2650;13;0;0;0;0
"N";0,9999999;62;0;0,04965839;6000;1;0;0;0;0
"N";0,017508178;73;1;0,135589153;4166;12;0;1;0;0
"N";0,787522133;52;0;0,353860086;4416;12;0;0;0;1
"N";0,125429152;55;0;0,476704659;5000;3;0;2;0;0
"N";0,06037487;42;0;0,578676723;5833;17;0;2;0;2
"Y";0,973339258;61;1;0,209961825;5500;11;0;0;1;1
"N";0,732660667;44;2;0,14041952;9200;15;0;1;0;0
"N";0,114561798;40;0;0,359964004;10000;20;0;2;0;2
"N";0,011883886;54;0;0,092913547;9750;8;0;1;0;2
"N";0,634327056;49;1;0,123125125;15000;7;0;0;0;1
"N";0,976531824;32;0;0,264078812;6800;6;0;0;0;2
"N";0,010402205;68;0;0,094140517;3600;6;0;1;0;0
"N";0,029816467;68;0;0,175139978;4464;12;0;1;0;1
"N";0,051368557;68;0;0,445277361;4668;10;0;1;0;2
"N";0,008099838;69;0;0,389895596;8332;3;0;1;0;0
"N";0,006099797;28;0;0,139429485;3750;8;0;0;0;0
"N";0,112855258;64;0;0,307576329;2652;6;0;1;0;0
"N";0,9999999;62;0;0;5480;3;0;0;0;0
"N";0,025856408;67;0;0,083799311;13054;13;0;1;0;0
"N";0;55;1;0,03988553;5590;8;0;0;0;0
"N";0,465238835;66;0;0,391427671;3172;8;1;1;0;0
"N";0,865423051;48;0;0,075848303;500;1;0;0;0;0
"N";0,544497658;32;1;0,166766647;6667;5;1;0;0;0
"N";0,730271957;36;1;0,632794037;5500;10;0;2;0;0
"N";0,067259209;29;1;0,168340507;2090;3;0;0;0;0
"N";0;55;1;0,388320836;4400;4;0;2;0;1
"N";0,335737457;50;0;0,45722203;5773;9;0;1;0;1
"N";0,507972665;69;2;0,193935355;3000;10;2;0;2;0
"N";0,630073985;38;0;0,563328034;1886;3;0;1;0;0
"N";0,143427862;67;0;0,119463561;5666;9;0;0;0;0
"N";0,457526639;51;0;0,333583302;8000;16;0;2;0;2
"N";0,013916922;54;0;0,017655818;4700;7;0;0;0;2
"N";0,024240472;64;0;0,101514142;10500;20;0;1;0;0
"N";0,088845558;62;0;0,073772011;5394;5;0;0;0;0
"N";0,014049649;27;0;0,352214765;3724;4;0;1;0;1
"N";0,368866624;55;0;0,437996083;9700;18;0;2;0;0
"N";0,03157211;39;0;0,644706486;3900;14;0;1;0;1
"N";0,319190816;49;0;0,358153388;9400;18;0;2;0;0
"N";0,028910707;52;0;0,013543599;5389;7;0;0;0;2
"N";0,067901335;69;0;0,065493451;10000;5;0;1;0;0
"N";0,9999999;32;2;0,095584668;2060;1;0;0;0;0
"N";0;37;0;0,177007047;7236;5;0;1;0;3
"N";0,10088331;52;1;0,280494456;5500;6;1;1;0;2
"N";0,347665233;46;0;0,041583367;2500;1;0;0;0;1
"N";0,640927271;53;4;0,52409692;11266;17;0;2;0;3
"N";0,719305764;64;0;0,186225718;6228;5;0;1;0;0
"N";0,57762185;71;1;0,4925;6399;14;0;2;0;1
"N";0,979521555;55;1;0,467850417;7433;11;0;2;2;0
"N";0,38480769;42;0;0,533099636;7416;5;0;1;0;3
"N";0,052161271;49;0;0,067629397;6993;5;0;0;0;1
"N";0,499666889;39;0;0,450171821;3200;8;0;1;0;0
"N";0,289470539;44;0;0,4825614;8916;17;0;2;0;1
"N";0,078497383;52;0;0,207274054;8220;5;0;1;0;3
"N";0,062093267;42;0;0,230261579;8333;6;0;1;0;4
"Y";0,640058527;39;0;0,055984556;9841;9;0;0;0;2
"N";0,312068793;55;1;0,127071823;1266;5;0;0;0;0
"N";0,266371179;58;0;0,498488489;12900;12;0;1;0;2
"N";0,040186458;35;0;0,300839136;5600;8;0;2;0;1
"N";0,014049887;37;0;0,674399608;6120;9;0;1;0;0
"N";0,329609837;36;0;0,437743191;3597;16;0;2;0;2
"N";0,484099985;40;0;0,423251505;10794;9;0;2;0;2
"N";0,152250785;49;0;0,030774358;9000;3;0;0;0;0
"N";0;30;0;0;4700;1;0;0;0;1
"N";0,277436128;59;0;0,388566694;3620;8;0;1;0;1
