"SeriousDlqin2yrs";"RevolvingUtilizationOfUnsecuredLines";"age";"NumberOfTime30.59DaysPastDueNotWorse";"DebtRatio";"MonthlyIncome";"NumberOfOpenCreditLinesAndLoans";"NumberOfTimes90DaysLate";"NumberRealEstateLoansOrLines";"NumberOfTime60.89DaysPastDueNotWorse";"NumberOfDependents"
"N";0,65818014;38;1;0,085113375;3042;2;1;0;0;0
"N";0,213178682;74;0;0,375606969;3500;3;0;1;0;1
"N";0,548458062;64;0;0,209891754;11362;7;0;1;0;2
"N";0,166284079;53;0;0,18827406;8800;7;0;0;0;0
"N";0,075426584;32;0;0,085512189;7916;6;0;0;0;0
"N";0,392994586;58;2;0,436102527;5500;15;0;1;0;0
"N";0,9999999;24;0;0,472703063;750;1;0;0;0;0
"N";0,186868556;57;0;0,313812313;7000;9;0;2;0;0
"N";0,881836362;50;3;0,567858035;4000;9;0;1;0;1
"N";0,9999999;75;1;0,134078212;3400;1;0;1;0;1
"N";0,469056842;31;0;0,048211004;9250;4;0;0;0;1
"Y";0,728150491;31;0;0,824725092;3000;10;0;2;0;1
"N";0,028562367;51;0;0,306381499;5750;5;0;1;0;0
"N";0,655569945;35;0;0,261609907;5813;10;0;0;0;2
"N";0,651603452;58;0;0,241135663;7783;11;0;1;0;0
"N";0,027399502;69;0;0,00803428;5600;3;0;0;0;0
"N";0;67;0;0,540983607;3720;2;0;1;0;0
"N";0,26948375;64;0;0,16106176;9455;13;0;1;0;3
"N";0,460376317;37;0;0,074155949;4975;6;0;0;0;0
"N";0,023767433;83;0;0,123797734;10500;13;0;0;0;0
"N";0,363199686;32;0;0,480523957;2900;4;0;1;0;0
"N";0,634485057;52;0;0,138238573;2690;2;0;0;0;0
"N";0,018886792;80;0;0,003478779;10060;5;0;0;0;0
"N";0,9999999;62;0;0,664221287;8314;8;0;3;0;0
"N";0,096737158;47;0;0,009748781;8000;2;0;0;0;2
"N";0,006541851;68;0;0,108089191;10000;10;0;2;0;1
"N";0,297594642;67;0;0,239507959;4145;13;0;0;0;0
"N";0,444837661;58;0;0,366545247;14000;9;0;2;1;4
"N";0,047311582;51;0;0,100920343;3150;5;0;0;0;0
"N";0,093962275;55;0;0,112051635;9450;6;0;2;0;0
"N";0;48;2;0,370876375;3000;14;0;1;0;5
"N";0,175932019;57;1;0,655812625;3500;9;0;1;0;1
"N";0,012682366;60;0;0,412979783;6825;20;0;2;0;0
"N";0,040795358;49;0;0,801999355;3100;11;0;1;0;0
"N";0,147712223;40;0;0,034847816;6800;6;0;0;0;3
"N";0,36459777;42;0;0,593899089;6916;7;0;3;0;0
"N";0,771845631;33;0;0,852429514;5000;7;0;3;0;0
"N";0,068335151;75;0;0,010927876;10065;9;0;0;0;0
"N";0;41;0;0,907538526;2400;6;0;1;0;0
"N";0,676195456;55;0;0,436665827;3970;10;1;1;0;0
"Y";0,786485406;44;0;0,291709578;3883;7;2;0;2;1
"N";0,03833451;56;0;0,438912218;5000;7;0;2;0;0
"N";0,714980139;55;0;0,47090194;15000;12;0;2;0;3
"N";0,311954668;61;0;0,269281443;9866;12;0;2;0;2
"N";0,137609462;49;0;0,429533892;7272;11;0;2;0;0
"N";0,021978375;40;0;0,443755624;10000;12;0;5;0;2
"N";0,292365949;50;0;0,420180551;8750;8;0;2;0;0
"N";0,9999999;66;1;0,358101135;1937;4;1;0;0;0
"N";0,9999999;62;0;0,04965839;6000;1;0;0;0;0
"N";0,025601772;63;1;0,262773723;10000;8;0;1;0;0
"N";0,787522133;52;0;0,353860086;4416;12;0;0;0;1
"Y";1,048210842;58;7;0,151956584;3500;12;0;0;0;0
"N";0,15576324;44;0;0,278077082;4825;4;0;1;0;2
"N";0,412398622;28;0;0,037259615;4991;5;0;0;0;0
"N";0,010402205;68;0;0,094140517;3600;6;0;1;0;0
"N";0,029816467;68;0;0,175139978;4464;12;0;1;0;1
"Y";0,220823719;46;1;0,637749121;1705;5;0;0;0;0
"N";0,941072508;40;0;0,178184282;8855;9;0;1;0;0
"N";0,991667222;36;1;0,554878049;5411;10;0;2;0;1
