"SeriousDlqin2yrs";"RevolvingUtilizationOfUnsecuredLines";"age";"NumberOfTime30.59DaysPastDueNotWorse";"DebtRatio";"MonthlyIncome";"NumberOfOpenCreditLinesAndLoans";"NumberOfTimes90DaysLate";"NumberRealEstateLoansOrLines";"NumberOfTime60.89DaysPastDueNotWorse";"NumberOfDependents"
"N";0,754463648;39;0;0,209940017;3500;8;0;0;0;0
"N";0,644225962;30;0;0,30947621;2500;5;0;0;0;0
"Y";0,964672555;40;3;0,382964747;13700;9;3;1;1;2
"N";0,166284079;53;0;0,18827406;8800;7;0;0;0;0
"N";0,200923382;43;0;0,430046338;12300;10;0;2;0;0
"N";0,034421473;69;0;0,042383047;2500;17;0;0;0;1
"N";0,452515828;24;0;0,011761247;3400;1;0;0;0;0
"N";0;64;0;0,073538769;11000;9;0;1;0;0
"N";0,9999999;75;1;0,134078212;3400;1;0;1;0;1
"N";0,363636364;26;0;0,00999001;1000;1;0;0;0;0
"N";0,304490668;52;0;0,808340474;3500;10;0;2;0;0
"N";0,718705378;28;0;0,170125614;3661;4;0;0;0;1
"N";0,028562367;51;0;0,306381499;5750;5;0;1;0;0
"N";0;58;0;0,316144874;4886;9;0;1;0;1
"N";0,003749688;64;0;0,004061231;3200;5;0;0;1;0
"N";0,791173628;44;0;0,51241535;3100;5;0;1;0;0
"N";0,24535301;37;0;0,288417167;6500;11;1;1;1;0
"N";0,363199686;32;0;0,480523957;2900;4;0;1;0;0
"N";0,114830941;46;0;0,026235802;6250;6;0;0;0;3
"N";0,018886792;80;0;0,003478779;10060;5;0;0;0;0
"N";0,006541851;68;0;0,108089191;10000;10;0;2;0;1
"N";0,317975796;34;0;0,297933792;4500;11;0;2;0;0
"N";0,011498563;77;0;0,001998002;1000;1;0;0;0;0
"N";0,083880003;53;0;0,199647533;7943;8;0;1;0;0
"N";0,9999999;38;0;0,43369976;5821;7;0;1;0;4
"N";0,040795358;49;0;0,801999355;3100;11;0;1;0;0
"N";0,36459777;42;0;0,593899089;6916;7;0;3;0;0
"N";0,167571389;69;0;0,330733853;5000;10;0;1;0;1
"N";0;41;0;0,907538526;2400;6;0;1;0;0
"N";0,676195456;55;0;0,436665827;3970;10;1;1;0;0
"N";0,043032042;64;0;0,332016389;6833;14;0;2;0;0
"N";0,035489848;69;0;0,308438695;3400;9;0;1;0;0
"N";0,311954668;61;0;0,269281443;9866;12;0;2;0;2
"N";0,137609462;49;0;0,429533892;7272;11;0;2;0;0
"N";0,046640328;92;1;0,034326669;2650;13;0;0;0;0
"N";0,292365949;50;0;0,420180551;8750;8;0;2;0;0
"N";0,028113957;61;0;0,031349387;2200;12;0;0;0;0
"N";0,455950788;63;1;0,701766078;6001;19;0;2;0;0
"N";0,196372799;43;0;0,537485582;2600;10;0;1;0;0
"N";0,787522133;52;0;0,353860086;4416;12;0;0;0;1
"N";0,002856735;73;0;0,000285687;10500;10;0;0;0;0
"N";0,9999999;68;0;0,040493251;6000;0;0;0;0;0
"N";0,114561798;40;0;0,359964004;10000;20;0;2;0;2
"N";0,012151003;78;0;0,008886914;4500;12;0;0;0;0
"N";0,09811305;49;0;0,257017809;6625;9;0;2;0;0
"N";0,75264947;33;1;0,058322869;7166;6;0;0;0;0
"N";0,112321289;53;0;0,266909775;8500;9;0;1;0;5
"N";0,634327056;49;1;0,123125125;15000;7;0;0;0;1
"N";0,034645112;65;0;0,125189985;12500;4;0;1;0;1
"N";0,267541336;59;0;0,637607437;5700;13;0;2;0;1
"N";0,9999999;61;0;0,529548989;1285;3;0;1;0;0
"N";0,029816467;68;0;0,175139978;4464;12;0;1;0;1
"N";0,051368557;68;0;0,445277361;4668;10;0;1;0;2
"Y";0,220823719;46;1;0,637749121;1705;5;0;0;0;0
"N";0,006099797;28;0;0,139429485;3750;8;0;0;0;0
"N";0,9999999;62;0;0;5480;3;0;0;0;0
"N";0,074256375;49;0;0,347930414;5000;11;0;2;0;3
"N";0,25889775;33;0;0,537441339;4900;3;0;1;0;1
"N";0,035940506;46;0;0,271186441;6666;10;0;1;0;3
"N";0,9999999;66;0;0,046633911;11600;2;0;0;0;1
"N";0,865423051;48;0;0,075848303;500;1;0;0;0;0
"N";0,948762809;27;0;0,144948404;4166;5;0;0;0;0
"N";0,063329564;37;0;0,329935275;6179;6;0;1;0;3
"N";0;37;0;0,184027338;7900;5;0;1;0;5
"N";1,00264667;38;2;0,472542946;3550;8;1;0;1;4
"N";0,283821988;63;0;0,750200803;1244;9;0;0;0;0
"N";0,284236153;45;1;0,318890815;7500;9;0;1;0;2
"N";0,727560021;38;0;0,712458746;2423;6;0;1;0;1
"N";0,687779097;62;0;0,249471161;7090;15;0;0;0;0
"N";0;55;1;0,388320836;4400;4;0;2;0;1
"N";0,399946674;28;0;0,189702574;4000;6;0;0;0;1
"N";0,052653171;43;0;0,572292191;1984;9;0;0;0;4
"N";0,9999999;30;0;0,090341011;5600;1;0;0;0;0
"N";0,335737457;50;0;0,45722203;5773;9;0;1;0;1
"N";0,186682782;30;0;0,698120752;2500;7;0;2;0;2
"N";0,457526639;51;0;0,333583302;8000;16;0;2;0;2
"N";1,047495906;35;2;0,314566116;3871;8;0;2;1;3
"N";0,012586354;79;0;0,009596162;2500;11;0;0;0;0
"N";0,024240472;64;0;0,101514142;10500;20;0;1;0;0
"N";0,007501937;63;0;0,278226307;8050;13;0;2;0;3
"N";0,267905614;76;0;0,285452994;8200;12;0;0;0;0
"N";0,029694361;76;0;0,070513488;9600;7;0;0;0;2
"N";0,702493864;63;0;0,582162622;4697;8;0;2;0;1
"N";0,9999999;42;1;0,113421853;6250;3;3;0;1;2
"N";0,030996074;56;0;0,131430952;4800;11;0;1;0;0
"N";0,971352432;24;0;0,035803497;1200;3;0;0;0;0
"N";0;57;0;0,785229953;6783;8;0;3;0;0
"N";0,243674266;48;0;0,179979778;8900;10;0;1;0;6
"N";0;23;0;0;3500;1;0;0;0;1
"N";0,028910707;52;0;0,013543599;5389;7;0;0;0;2
"N";0,740635161;39;0;0,432010059;5566;7;0;1;0;0
"N";0,9999999;32;2;0,095584668;2060;1;0;0;0;0
"N";0,057867667;81;0;0,145685279;3939;13;0;0;0;0
"N";0,201943642;46;0;0,394460554;10000;15;0;2;0;3
"N";0,077958915;57;0;0,053530226;6500;19;0;0;0;0
"Y";0,9999999;32;0;0,006731051;3416;1;0;0;0;3
"N";0,079178219;82;0;0,176964607;5000;3;0;1;0;0
"N";0,640927271;53;4;0,52409692;11266;17;0;2;0;3
"N";0,35592819;48;0;0,478090767;7667;17;0;2;0;0
"N";0;75;0;0,205971968;1640;4;0;0;0;1
"N";0,193584801;51;0;0,532754538;3800;13;0;2;0;0
"N";0,485558448;51;0;0,09963548;6583;5;0;0;0;0
"N";0,979521555;55;1;0,467850417;7433;11;0;2;2;0
"Y";0,9999999;54;0;0,228402866;2372;2;0;0;1;0
"N";0,290320472;48;0;0,262848568;7996;7;0;1;0;3
"N";0,052161271;49;0;0,067629397;6993;5;0;0;0;1
"N";0,412657703;66;1;0,195074372;4100;7;1;0;0;0
"N";0,611388611;22;0;0,347066167;800;4;0;0;0;0
"N";0,499666889;39;0;0,450171821;3200;8;0;1;0;0
"Y";0,814154511;50;1;0,297139683;3600;8;0;1;1;1
"N";0,016406971;55;0;0,001785714;5599;3;0;0;0;2
"N";0,029692431;58;2;0,287187752;6204;19;0;1;0;0
"N";0,01255887;62;0;0,044762033;7416;5;0;0;0;0
"N";0,581815774;45;0;0,724784402;8000;11;0;2;0;0
"Y";0,955545894;52;1;0,524949909;10480;11;0;3;0;1
"N";0,329609837;36;0;0,437743191;3597;16;0;2;0;2
"N";0,484099985;40;0;0,423251505;10794;9;0;2;0;2
"N";0,584844623;60;0;0,293637575;6003;11;0;1;0;0
"Y";0,339503567;89;1;0,549380248;2500;9;3;0;1;0
"N";0,697812691;31;0;0,236980252;12000;10;0;0;0;1
"N";0,30248201;46;0;0,348057208;7900;12;0;1;0;2
"N";0,9999999;40;0;0,185755935;2400;1;2;0;0;0
"N";0,159116246;91;0;0,184123484;1813;6;0;0;0;0
"N";0,181579946;54;0;0,3539428;6048;9;0;1;0;1
"Y";0,517045364;61;0;0,572590321;7500;20;0;2;0;0
"N";0,024100447;86;0;0,010791367;2223;6;0;0;0;0
"N";0,996301651;39;2;0,306101912;10930;17;0;0;0;1
"N";0,057887851;56;0;0,238127698;4400;13;0;1;0;1
"N";0,883182488;49;0;0,183736947;4500;18;0;0;0;2
"N";0,088809584;51;0;0,295480067;7123;12;0;1;0;0
"N";0;36;0;0,370418677;7666;4;0;1;0;2
"N";0;65;0;0,416379181;6666;10;0;1;0;0
"Y";1,248751249;33;0;0,175120326;2700;3;2;0;0;0
"N";0,569824212;40;0;0,361421689;11000;18;0;1;0;2
"N";0,0382584;68;0;0,009831695;6000;12;0;0;0;0
