"SeriousDlqin2yrs";"RevolvingUtilizationOfUnsecuredLines";"age";"NumberOfTime30.59DaysPastDueNotWorse";"DebtRatio";"MonthlyIncome";"NumberOfOpenCreditLinesAndLoans";"NumberOfTimes90DaysLate";"NumberRealEstateLoansOrLines";"NumberOfTime60.89DaysPastDueNotWorse";"NumberOfDependents"
"Y";0,766126609;45;2;0,802982129;9120;13;0;6;0;2
"N";0,213178682;74;0;0,375606969;3500;3;0;1;0;1
"Y";0,964672555;40;3;0,382964747;13700;9;3;1;1;2
"N";0,392994586;58;2;0,436102527;5500;15;0;1;0;0
"N";0,9999999;24;0;0,472703063;750;1;0;0;0;0
"N";0,881836362;50;3;0,567858035;4000;9;0;1;0;1
"N";0,140110634;31;0;0,689370485;1937;4;0;2;0;0
"N";0,992015968;29;0;0,008064516;2231;1;0;0;0;0
"N";0,454971915;46;1;0,016921775;13000;10;0;0;0;1
"N";0,655569945;35;0;0,261609907;5813;10;0;0;0;2
"N";0,027399502;69;0;0,00803428;5600;3;0;0;0;0
"N";0,750873672;55;2;0,316416365;7723;17;0;1;0;1
"N";0,827708197;56;0;0,369590815;6793;15;1;1;0;0
"N";0,460376317;37;0;0,074155949;4975;6;0;0;0;0
"N";0,335558577;69;0;0,270448637;15000;14;0;2;0;1
"N";0,054497069;56;0;0,492021814;4950;18;0;2;0;0
"Y";0,734477501;45;0;0,591477634;4716;13;0;2;0;2
"N";0,023767433;83;0;0,123797734;10500;13;0;0;0;0
"N";0,888822236;34;0;0,368403802;3050;4;0;0;0;1
"N";0,010531379;57;0;0,280664917;5714;6;0;1;0;0
"N";0,003108849;57;0;0,258939285;8333;7;0;1;0;0
"N";0,114830941;46;0;0,026235802;6250;6;0;0;0;3
"N";0,635415157;32;0;0,519493502;3000;4;0;1;0;1
"N";0,180972181;39;1;0,384441575;3097;7;0;1;0;3
"N";0;61;0;0,2226598;3300;14;0;1;0;0
"N";0,083880003;53;0;0,199647533;7943;8;0;1;0;0
"N";0,54699881;50;0;0,748071979;3500;9;0;2;0;3
"N";0,072277109;34;0;0,025911708;2083;2;0;0;0;0
"N";0;48;2;0,370876375;3000;14;0;1;0;5
"N";0,050789842;30;0;0,315171207;4000;4;0;1;0;1
"N";0;50;1;0,726566993;3477;5;0;1;0;1
"N";0,05538241;72;0;0,089091313;4500;4;0;0;0;0
"N";0,008632035;79;0;0,365151154;4200;9;0;1;0;0
"N";0,13527952;58;0;0,342005076;9455;11;0;2;0;2
"N";0,043032042;64;0;0,332016389;6833;14;0;2;0;0
"N";1,095083357;53;5;0,536703799;3500;7;1;1;2;0
"N";0,9999999;55;0;0,156259612;3250;5;0;0;0;4
"N";0,311954668;61;0;0,269281443;9866;12;0;2;0;2
"N";0,078738916;46;0;0,166215372;4800;6;0;1;0;4
"N";0,030173038;64;0;0,17386957;9000;8;0;1;0;0
"N";0,021978375;40;0;0,443755624;10000;12;0;5;0;2
"N";0,443696851;27;0;0,024340075;5833;4;0;0;0;0
"N";0,017508178;73;1;0,135589153;4166;12;0;1;0;0
