"SeriousDlqin2yrs";"RevolvingUtilizationOfUnsecuredLines";"age";"NumberOfTime30.59DaysPastDueNotWorse";"DebtRatio";"MonthlyIncome";"NumberOfOpenCreditLinesAndLoans";"NumberOfTimes90DaysLate";"NumberRealEstateLoansOrLines";"NumberOfTime60.89DaysPastDueNotWorse";"NumberOfDependents"
"N";0,010351857;46;0;0,298354075;12454;13;0;2;0;2
"Y";0,964672555;40;3;0,382964747;13700;9;3;1;1;2
"N";0,602794411;25;0;0,065868263;333;2;0;0;0;0
"N";0,392994586;58;2;0,436102527;5500;15;0;1;0;0
"N";0;64;0;0,073538769;11000;9;0;1;0;0
"N";0,9999999;75;1;0,134078212;3400;1;0;1;0;1
"N";0,363636364;26;0;0,00999001;1000;1;0;0;0;0
"N";0,718705378;28;0;0,170125614;3661;4;0;0;0;1
"Y";0,728150491;31;0;0,824725092;3000;10;0;2;0;1
"N";0,655569945;35;0;0,261609907;5813;10;0;0;0;2
"N";0,027399502;69;0;0,00803428;5600;3;0;0;0;0
"N";0,337520702;60;0;0,549877805;4500;10;0;2;0;0
"N";0,006799093;27;1;0,681045752;764;3;0;0;0;0
"N";0,004264079;31;0;0,111444278;2000;6;1;0;0;2
"N";0,122295933;29;0;0,694646949;4800;5;0;1;0;0
"N";0,335558577;69;0;0,270448637;15000;14;0;2;0;1
"N";0,183316667;52;0;0,111131623;10833;14;0;2;0;1
"N";0,074861676;66;0;0,208842479;4500;3;0;1;0;0
"N";0,023767433;83;0;0,123797734;10500;13;0;0;0;0
"N";0,791173628;44;0;0,51241535;3100;5;0;1;0;0
"N";0,363199686;32;0;0,480523957;2900;4;0;1;0;0
"N";0,019387779;34;0;0,32591852;4000;9;0;1;0;0
"N";0,634485057;52;0;0,138238573;2690;2;0;0;0;0
"N";0,888008615;44;0;0,299246282;4908;8;0;0;0;1
"N";0,018886792;80;0;0,003478779;10060;5;0;0;0;0
"N";0,096737158;47;0;0,009748781;8000;2;0;0;0;2
"N";0,163037489;81;0;0,086482558;2751;7;0;0;0;1
"N";0,083880003;53;0;0,199647533;7943;8;0;1;0;0
"N";0,21955042;54;0;0,315983758;5417;20;0;2;0;1
"N";0,116676791;31;0;0,343593791;3800;7;0;1;0;0
"N";0,496911825;40;0;0,452363811;12500;11;0;2;0;2
"N";0,130902106;48;1;0,427882174;3937;17;0;1;0;0
"N";0,050789842;30;0;0,315171207;4000;4;0;1;0;1
