"SeriousDlqin2yrs";"RevolvingUtilizationOfUnsecuredLines";"age";"NumberOfTime30.59DaysPastDueNotWorse";"DebtRatio";"MonthlyIncome";"NumberOfOpenCreditLinesAndLoans";"NumberOfTimes90DaysLate";"NumberRealEstateLoansOrLines";"NumberOfTime60.89DaysPastDueNotWorse";"NumberOfDependents"
"N";0,548458062;64;0;0,209891754;11362;7;0;1;0;2
"N";0,166284079;53;0;0,18827406;8800;7;0;0;0;0
"N";0,221812771;43;0;0,527887839;3280;7;0;1;0;2
"N";0,602794411;25;0;0,065868263;333;2;0;0;0;0
"N";0,9999999;39;0;0,241103559;2500;4;0;0;0;0
"N";0,186868556;57;0;0,313812313;7000;9;0;2;0;0
"N";0;64;0;0,073538769;11000;9;0;1;0;0
"N";0,881836362;50;3;0,567858035;4000;9;0;1;0;1
"N";0,304490668;52;0;0,808340474;3500;10;0;2;0;0
"N";0,71998531;41;1;0,539554464;5700;14;0;1;0;0
"N";0,992015968;29;0;0,008064516;2231;1;0;0;0;0
"N";0,070853769;55;0;0,073147745;13793;4;0;1;0;0
"N";0,027399502;69;0;0,00803428;5600;3;0;0;0;0
"N";0,337520702;60;0;0,549877805;4500;10;0;2;0;0
"N";0,122295933;29;0;0,694646949;4800;5;0;1;0;0
"N";0,080564168;60;0;0,487288997;4916;15;0;2;0;0
"N";0,023767433;83;0;0,123797734;10500;13;0;0;0;0
"N";0,791173628;44;0;0,51241535;3100;5;0;1;0;0
"N";0,019387779;34;0;0,32591852;4000;9;0;1;0;0
"N";0,634485057;52;0;0,138238573;2690;2;0;0;0;0
"N";0,9999999;62;0;0,664221287;8314;8;0;3;0;0
"N";0;59;0;0,351699622;4500;12;0;1;0;0
"N";0,011498563;77;0;0,001998002;1000;1;0;0;0;0
"N";0,175932019;57;1;0,655812625;3500;9;0;1;0;1
"N";0,040795358;49;0;0,801999355;3100;11;0;1;0;0
"N";0;50;1;0,726566993;3477;5;0;1;0;1
"N";0,068335151;75;0;0,010927876;10065;9;0;0;0;0
"Y";0;25;0;0,152896812;2916;3;0;0;1;0
"N";0,043032042;64;0;0,332016389;6833;14;0;2;0;0
"N";0,311954668;61;0;0,269281443;9866;12;0;2;0;2
"N";0,9999999;66;1;0,358101135;1937;4;1;0;0;0
"N";0,593985244;63;0;0,332698534;5250;4;0;2;0;0
"N";0,333060631;52;3;0,700153374;5215;15;0;2;1;0
"N";0,260271523;44;0;0,296854804;6962;11;0;1;0;0
"N";0,080288098;37;0;0,322446259;6000;7;0;1;0;0
"N";0,181557324;36;0;0,56071964;2000;7;0;1;0;1
"N";0,147123525;41;0;0,436025621;6400;5;0;1;0;2
"N";0,196372799;43;0;0,537485582;2600;10;0;1;0;0
"N";0,034833091;67;0;0,460246187;12916;9;0;2;0;0
"N";0,125429152;55;0;0,476704659;5000;3;0;2;0;0
"N";0,114561798;40;0;0,359964004;10000;20;0;2;0;2
"N";0,011883886;54;0;0,092913547;9750;8;0;1;0;2
"N";0;23;0;0;1725;1;0;0;0;0
"N";0,634327056;49;1;0,123125125;15000;7;0;0;0;1
"N";0,144878408;66;0;0,28446242;8900;9;0;1;0;0
"N";0,191001932;54;0;0,705627706;5081;10;0;2;0;2
"N";0;37;0;0,184027338;7900;5;0;1;0;5
"N";0,426371142;62;1;0,406053995;3666;15;0;1;0;0
"N";0;59;0;0;4200;7;0;0;0;1
"N";0,399946674;28;0;0,189702574;4000;6;0;0;0;1
"Y";0,880370887;43;0;0,461323764;7523;6;0;1;0;1
"Y";0,739146488;63;1;0,285156885;6150;12;0;0;0;1
"N";0,186890655;54;0;0,655589124;3640;7;0;1;0;1
"N";0,903231566;57;0;0,13080895;5228;10;0;0;0;0
"N";0,742436041;52;0;0,414081023;9700;10;0;2;0;0
"N";0,144914011;37;0;0,045366363;6700;5;0;0;0;0
"N";0,006956358;52;0;0,003278689;2439;4;0;0;0;0
"N";0,026944485;41;0;0,686736475;4583;8;0;3;0;0
"N";0,051077957;74;0;0,306409131;3416;9;0;1;0;0
"N";0,9999999;32;2;0,095584668;2060;1;0;0;0;0
"N";0,07807727;60;0;0,566105156;3917;14;0;1;0;2
"N";0,201943642;46;0;0,394460554;10000;15;0;2;0;3
"Y";0,9999999;32;0;0,006731051;3416;1;0;0;0;3
"N";0,079178219;82;0;0,176964607;5000;3;0;1;0;0
"N";0,745173448;68;0;0,168767792;4917;4;0;1;0;0
"N";0,993335555;31;0;0,068227425;4484;6;0;0;0;1
"N";0,138793584;43;0;0,384074741;11666;9;0;5;0;0
"N";0,485558448;51;0;0,09963548;6583;5;0;0;0;0
"N";0,183676155;33;0;0,660528423;2497;9;0;1;0;0
"N";0,018124667;60;0;0,023181455;1250;4;0;0;0;1
"N";0,412657703;66;1;0,195074372;4100;7;1;0;0;0
"N";0,065630892;31;0;0,162635688;5250;10;0;0;0;0
"N";0,499666889;39;0;0,450171821;3200;8;0;1;0;0
"N";0,078497383;52;0;0,207274054;8220;5;0;1;0;3
"N";0,551889862;42;1;0,790613718;3600;18;0;2;0;1
"Y";0,640058527;39;0;0,055984556;9841;9;0;0;0;2
"N";0,581815774;45;0;0,724784402;8000;11;0;2;0;0
"N";0,188256123;27;0;0,881825173;3900;6;0;1;0;1
"N";0,152250785;49;0;0,030774358;9000;3;0;0;0;0
"N";0,2128856;66;0;0,351891786;5100;10;0;1;0;0
"N";0;30;0;0;4700;1;0;0;0;1
"N";0,732711215;29;0;0,338531127;8400;10;0;1;0;0
