"SEX";"MARITAL_STATUS";"AGE";"QUANT_DEPENDANTS";"MONTHS_IN_RESIDENCE";"MONTHS_IN_THE_JOB";"PERSONAL_NET_INCOME";"DELINQ"
"M";"S";21;0;48;12;444;"0"
"F";"V";67;0;36;12;2623;"1"
"F";"O";27;0;240;120;350;"1"
"M";"C";50;0;216;216;1292;"1"
"F";"O";37;0;48;48;715;"0"
"F";"S";34;0;192;12;792;"0"
"F";"C";34;0;12;144;380;"0"
"F";"S";34;0;24;12;304;"0"
"M";"C";31;0;72;132;1100;"0"
"M";"C";25;0;264;36;1000;"0"
"F";"C";33;0;240;12;551;"0"
"M";"C";32;0;108;84;540;"0"
"F";"S";20;0;120;0;282;"0"
"F";"C";36;0;144;36;1000;"0"
"F";"C";50;0;228;12;1716;"0"
"F";"S";20;0;72;12;238;"0"
"F";"D";35;0;84;12;500;"0"
"M";"S";19;0;12;12;314;"0"
"M";"S";26;0;312;36;248;"0"
"F";"S";18;0;216;0;180;"0"
"F";"C";24;0;60;12;350;"1"
"F";"C";29;0;72;96;800;"0"
"F";"C";50;0;60;12;200;"0"
"M";"S";29;0;12;36;278;"1"
"F";"S";26;0;312;12;367;"0"
"F";"C";22;0;48;24;200;"0"
"F";"C";49;0;48;48;302;"0"
"F";"C";30;0;48;48;305;"0"
"F";"S";24;0;12;0;360;"0"
"F";"S";31;0;120;120;400;"0"
"M";"S";21;0;252;0;477;"1"
"F";"D";45;0;0;0;600;"1"
"F";"S";39;0;360;12;902;"0"
"F";"C";25;0;312;12;300;"1"
"M";"C";47;0;180;12;920;"0"
"M";"O";35;0;396;36;450;"0"
"F";"S";25;0;108;12;240;"0"
"F";"C";42;0;504;0;1500;"0"
"M";"D";34;0;12;12;6000;"0"
"F";"C";34;0;48;132;310;"0"
"F";"D";47;0;12;96;569;"0"
"M";"C";21;0;24;24;698;"0"
"M";"S";20;0;204;0;226;"0"
"F";"S";20;0;216;12;450;"0"
"F";"S";27;0;360;0;600;"1"
"F";"V";68;0;84;0;360;"0"
"F";"V";65;0;348;348;417;"0"
"M";"S";18;0;216;12;205;"0"
"F";"S";35;0;240;24;330;"0"
"F";"V";35;0;120;24;272;"0"
"F";"S";70;0;216;96;590;"0"
"F";"S";47;0;120;24;399;"0"
"F";"C";45;0;360;60;800;"0"
"M";"S";22;0;276;108;187;"0"
"M";"C";36;0;60;24;775;"0"
"F";"C";40;0;72;12;1200;"1"
"M";"C";32;0;72;72;359;"0"
"M";"C";37;0;120;0;585;"0"
"M";"S";18;0;120;24;500;"0"
"F";"S";29;0;300;24;300;"0"
"F";"S";30;0;36;0;300;"0"
"F";"S";19;0;72;12;210;"0"
"M";"C";47;0;360;0;659;"0"
"M";"S";21;0;240;12;240;"0"
"F";"C";49;0;48;120;600;"0"
"F";"S";29;0;48;36;240;"0"
"M";"C";43;0;252;24;800;"0"
"M";"S";21;0;24;12;351;"0"
"F";"C";31;0;24;12;802;"0"
"F";"S";18;0;144;12;300;"1"
"F";"C";25;0;12;12;296;"0"
"M";"S";22;0;120;72;1500;"0"
"F";"V";69;0;300;300;500;"0"
"F";"V";52;0;624;192;225;"0"
"F";"S";31;0;72;72;500;"0"
"M";"C";45;0;480;120;900;"0"
"F";"S";23;0;12;12;330;"0"
"F";"S";25;0;0;12;1350;"0"
"M";"C";29;0;24;0;356;"0"
"F";"S";51;0;36;312;260;"0"
"F";"D";34;0;12;0;995;"1"
"M";"S";21;0;24;24;857;"1"
"F";"C";28;0;48;72;350;"0"
"M";"O";65;0;444;0;1845;"0"
"F";"S";20;0;72;12;360;"1"
"F";"C";43;0;216;12;300;"0"
"M";"S";20;0;180;60;350;"1"
"F";"S";32;0;24;36;309;"0"
"F";"C";36;0;240;36;726;"0"
"M";"C";26;0;12;12;471;"0"
"F";"C";29;0;24;0;280;"0"
"F";"S";22;0;132;12;390;"0"
"F";"C";30;0;84;72;500;"0"
"F";"C";38;0;84;180;2335;"0"
"F";"S";18;0;216;24;300;"1"
"M";"O";28;0;240;12;300;"0"
"F";"S";24;0;216;12;268;"0"
"F";"C";47;0;360;216;2400;"0"
"F";"S";31;0;120;0;500;"0"
"F";"C";26;0;120;0;350;"0"
"F";"S";34;0;240;12;340;"0"
"M";"S";24;0;12;36;500;"0"
"F";"S";19;0;228;12;204;"1"
"F";"C";33;0;48;216;600;"0"
"F";"D";42;0;60;24;550;"1"
"F";"O";34;0;192;48;266;"0"
"F";"S";46;0;204;84;900;"0"
"F";"O";65;0;360;0;180;"0"
