"SEX";"MARITAL_STATUS";"AGE";"QUANT_DEPENDANTS";"MONTHS_IN_RESIDENCE";"MONTHS_IN_THE_JOB";"PERSONAL_NET_INCOME";"DELINQ"
"F";"S";21;0;576;12;480;"1"
"F";"C";26;0;12;12;250;"0"
"F";"C";43;0;300;288;300;"0"
"F";"C";46;0;144;36;431;"0"
"F";"C";43;0;120;0;600;"0"
"F";"S";32;0;144;72;260;"1"
"F";"C";24;0;12;12;1100;"0"
"F";"C";38;0;12;0;0;"0"
"F";"S";36;0;72;12;632;"0"
"M";"S";26;0;312;0;298;"0"
"M";"S";30;0;216;0;302;"1"
"M";"S";28;0;336;12;422;"0"
"F";"S";30;0;24;0;180;"1"
"F";"S";18;0;204;12;386;"0"
"M";"S";26;0;240;12;1000;"0"
"M";"C";41;0;240;0;270;"0"
"F";"S";18;0;192;12;220;"1"
"F";"S";20;0;12;24;200;"0"
"M";"S";25;0;300;24;332;"0"
"M";"S";21;0;72;84;520;"0"
"M";"C";51;0;24;264;1503;"0"
"F";"C";54;0;48;0;500;"0"
"M";"S";22;0;84;12;350;"0"
"F";"C";21;0;12;0;270;"0"
"F";"S";27;0;120;24;300;"0"
"F";"S";18;0;216;0;220;"1"
"M";"C";31;0;276;156;879;"0"
"M";"D";41;0;48;360;3500;"1"
"M";"S";20;0;36;0;272;"0"
"F";"C";24;0;120;0;565;"0"
"M";"C";31;0;12;108;239;"0"
"F";"S";31;0;60;12;317;"0"
"F";"C";22;0;0;12;400;"0"
"F";"S";29;0;336;0;210;"1"
"M";"S";22;0;276;12;400;"1"
"F";"S";23;0;156;12;726;"0"
"F";"S";26;0;432;12;500;"0"
"F";"S";21;0;48;0;251;"0"
"F";"S";37;0;360;0;349;"0"
"F";"S";19;0;240;12;220;"1"
"F";"S";19;0;228;24;180;"1"
"M";"S";19;0;36;12;911;"1"
"F";"S";20;0;216;0;231;"0"
"F";"S";46;0;12;0;300;"0"
"F";"C";47;0;12;24;800;"0"
"F";"D";62;0;0;0;180;"0"
"F";"S";60;0;600;180;846;"0"
"F";"C";40;0;240;0;300;"0"
"M";"C";40;0;192;48;407;"0"
"F";"D";28;0;300;156;280;"0"
"F";"S";34;0;204;96;280;"0"
"M";"C";30;0;120;0;541;"0"
"F";"S";53;0;84;336;1071;"0"
"F";"C";31;0;108;96;700;"0"
"F";"C";51;0;264;0;1100;"1"
"F";"S";24;0;180;12;892;"0"
"F";"C";37;0;24;0;400;"0"
"M";"S";23;0;276;72;316;"1"
"F";"C";36;0;120;12;400;"0"
"F";"S";23;0;264;0;506;"0"
"M";"C";27;0;12;60;972;"0"
"F";"S";31;0;396;72;246;"1"
"F";"S";23;0;108;24;290;"0"
"F";"S";18;0;228;0;500;"1"
"F";"C";63;0;300;0;861;"0"
"F";"D";47;0;228;228;991;"0"
"F";"V";71;0;456;60;180;"0"
"F";"C";37;0;24;24;600;"0"
"F";"S";25;0;300;12;320;"1"
"F";"S";27;0;240;60;467;"0"
"F";"D";39;0;96;0;1200;"0"
"F";"O";28;0;348;72;300;"0"
"F";"C";40;0;84;72;246;"0"
"F";"C";37;0;108;192;3601;"0"
"F";"C";54;0;36;60;540;"0"
"F";"C";29;0;360;12;200;"1"
"F";"C";24;0;300;12;364;"0"
"M";"S";31;0;48;12;300;"0"
"F";"C";36;0;84;0;400;"0"
"F";"S";18;0;24;12;546;"1"
"F";"S";35;0;48;48;331;"0"
"F";"S";32;0;60;24;220;"0"
"M";"C";31;0;312;0;244;"0"
"F";"S";23;0;48;12;300;"0"
"F";"S";26;0;144;12;319;"0"
"F";"S";26;0;120;120;1000;"0"
"F";"C";40;0;72;24;540;"0"
"F";"C";50;0;36;48;898;"0"
"F";"V";69;0;444;48;2444;"0"
"M";"S";21;0;24;60;1800;"1"
"F";"C";47;0;384;240;900;"0"
"F";"S";18;0;192;12;257;"0"
"M";"S";19;0;228;12;220;"0"
"F";"C";38;0;12;12;470;"0"
"F";"S";25;0;300;12;560;"0"
"M";"C";47;0;48;0;880;"1"
"F";"V";31;0;240;12;241;"1"
"F";"V";57;0;204;72;970;"0"
"M";"S";27;0;108;72;700;"0"
"F";"S";26;0;12;0;0;"0"
"F";"C";37;0;144;24;1800;"0"
"F";"S";50;0;336;240;356;"0"
"F";"S";19;0;24;0;340;"0"
"F";"S";36;0;48;36;1309;"1"
"M";"O";22;0;36;36;350;"0"
"M";"O";20;0;228;24;236;"0"
"F";"S";19;0;228;12;600;"0"
"M";"C";45;0;240;0;1680;"0"
"F";"C";42;0;240;12;151;"0"
"F";"S";20;0;120;0;850;"0"
"F";"S";23;0;48;12;220;"0"
"F";"V";57;0;132;0;838;"1"
"M";"S";32;0;12;12;400;"0"
"F";"S";21;0;12;12;250;"1"
"M";"S";20;0;72;12;262;"1"
"M";"S";21;0;180;48;593;"0"
"F";"S";48;0;132;120;705;"0"
"F";"C";45;0;144;240;5000;"0"
"M";"D";40;0;360;0;2127;"0"
"F";"S";25;0;132;36;700;"0"
"F";"C";68;0;12;240;1111;"0"
"F";"O";26;0;72;12;450;"1"
"M";"S";25;0;72;12;978;"0"
"F";"C";38;0;24;12;180;"0"
"M";"O";29;0;12;72;500;"0"
"F";"C";41;0;180;36;1500;"0"
"M";"C";35;0;24;120;1500;"0"
"F";"S";18;0;96;12;350;"1"
"F";"S";27;0;144;96;200;"0"
"M";"S";18;0;228;24;655;"0"
"F";"S";22;0;252;12;586;"0"
"F";"C";36;0;180;0;0;"0"
"M";"C";76;0;240;360;1700;"0"
"M";"S";23;0;12;12;1224;"0"
"M";"S";19;0;72;0;180;"1"
"F";"V";65;0;240;36;670;"0"
"M";"C";34;0;36;72;532;"0"
"F";"C";46;0;144;72;300;"0"
"M";"C";35;0;240;156;738;"0"
"M";"C";40;0;36;60;393;"0"
"M";"C";39;0;360;108;668;"1"
"F";"C";42;0;264;72;980;"1"
"F";"C";26;0;60;12;380;"0"
"F";"S";24;0;240;12;285;"0"
"F";"C";51;0;12;0;0;"0"
"F";"S";21;0;252;60;5000;"1"
"F";"C";45;0;72;0;0;"0"
"M";"S";21;0;12;0;0;"1"
"F";"V";44;0;36;0;584;"0"
"F";"V";57;0;360;204;265;"0"
"F";"C";45;0;108;24;180;"0"
"F";"V";44;0;216;12;500;"0"
"F";"C";49;0;216;108;700;"0"
"F";"S";54;0;276;12;748;"0"
"F";"S";19;0;72;12;300;"1"
