"SEX";"MARITAL_STATUS";"AGE";"QUANT_DEPENDANTS";"MONTHS_IN_RESIDENCE";"MONTHS_IN_THE_JOB";"PERSONAL_NET_INCOME";"DELINQ"
"F";"S";19;0;120;24;600;"0"
"F";"C";31;0;372;12;360;"0"
"F";"C";30;0;24;60;200;"0"
"M";"S";30;0;60;0;280;"0"
"F";"C";22;0;0;12;225;"0"
"F";"S";33;0;396;120;500;"0"
"F";"V";54;0;144;72;683;"0"
"F";"V";57;0;12;120;419;"0"
"F";"C";68;0;360;396;1192;"0"
"F";"S";43;0;240;120;250;"0"
"F";"C";26;0;252;12;200;"0"
"F";"S";22;0;252;24;422;"0"
"F";"D";47;0;24;48;394;"0"
"F";"S";31;0;180;60;250;"0"
"F";"C";39;0;204;24;180;"1"
"M";"S";24;0;60;12;587;"0"
"F";"S";39;0;108;0;1200;"0"
"F";"S";51;0;372;120;600;"0"
"F";"S";33;0;60;24;340;"0"
"F";"C";52;0;384;288;500;"0"
"F";"C";55;0;24;120;800;"0"
"M";"C";35;0;348;0;577;"1"
"F";"C";43;0;228;0;270;"0"
"F";"C";26;0;144;36;300;"0"
"F";"C";35;0;180;24;260;"0"
"F";"S";19;0;120;0;360;"0"
"F";"V";56;0;12;12;576;"0"
"F";"S";20;0;168;12;400;"1"
"M";"S";20;0;84;12;249;"0"
"F";"S";22;0;240;0;288;"1"
"F";"S";43;0;60;288;2800;"1"
"F";"S";38;0;108;12;880;"1"
"F";"S";24;0;240;36;680;"0"
"F";"C";37;0;12;0;700;"0"
"M";"C";36;0;120;0;846;"0"
"M";"C";31;0;36;144;1300;"0"
"F";"V";50;0;60;0;1034;"0"
"F";"C";41;0;240;12;452;"0"
"M";"S";26;0;312;24;613;"0"
"F";"S";43;0;348;12;500;"0"
"F";"C";41;0;312;216;1598;"0"
"F";"S";24;0;120;60;400;"0"
"F";"S";62;0;180;360;1500;"0"
"F";"S";36;0;408;24;189;"0"
"F";"C";30;0;324;0;325;"0"
"F";"S";20;0;240;108;400;"1"
"M";"S";18;0;36;48;240;"0"
"F";"S";47;0;24;0;647;"1"
"F";"S";26;0;96;0;550;"1"
"M";"S";19;0;48;0;500;"1"
"F";"S";27;0;180;12;220;"0"
"M";"C";40;0;144;12;280;"0"
"F";"C";50;0;276;360;1334;"0"
"F";"S";30;0;60;132;406;"0"
"F";"S";34;0;420;72;400;"0"
"F";"C";48;0;360;180;1500;"0"
"F";"C";39;0;144;36;180;"0"
"F";"C";38;0;108;120;300;"1"
"M";"C";36;0;12;12;1764;"0"
"F";"S";37;0;84;24;700;"0"
"F";"S";19;0;72;24;250;"1"
"M";"S";41;0;480;12;1500;"1"
"M";"C";26;0;72;12;150;"0"
"F";"C";32;0;72;12;1000;"1"
"M";"S";26;0;48;12;460;"0"
"F";"S";21;0;252;12;220;"1"
"F";"C";40;0;24;0;0;"1"
"F";"C";35;0;360;96;205;"1"
"M";"S";18;0;144;0;200;"0"
"F";"S";32;0;240;24;350;"0"
"F";"C";23;0;180;0;250;"1"
"M";"C";63;0;60;0;2339;"0"
"F";"S";19;0;12;72;350;"0"
"M";"S";24;0;24;24;800;"1"
"M";"C";40;0;24;216;800;"0"
"F";"S";19;0;108;0;262;"0"
"F";"C";63;0;12;0;1056;"0"
"F";"D";63;0;300;12;800;"0"
"M";"S";31;0;372;12;400;"1"
"M";"C";46;0;48;60;4000;"0"
"F";"S";18;0;180;12;203;"0"
"M";"C";31;0;240;48;500;"0"
"F";"S";24;0;120;0;400;"0"
"F";"S";25;0;0;12;1350;"0"
"M";"C";40;0;60;96;660;"0"
"F";"S";23;0;252;12;424;"1"
"F";"S";52;0;360;480;1716;"0"
"F";"S";23;0;276;48;209;"0"
"F";"D";49;0;60;12;400;"1"
"F";"V";51;0;480;72;350;"0"
"M";"S";19;0;204;12;221;"1"
"F";"C";36;0;180;0;300;"0"
"M";"S";25;0;204;12;317;"0"
"F";"S";39;0;120;24;500;"0"
"F";"S";27;0;48;48;236;"0"
"F";"S";67;0;84;156;826;"0"
"F";"V";68;0;504;192;522;"0"
"F";"C";44;0;144;36;413;"0"
"F";"S";18;0;120;0;180;"0"
"F";"V";59;0;156;180;800;"0"
"F";"C";46;0;240;288;1319;"1"
"M";"S";20;0;228;12;339,5;"0"
"M";"S";44;0;0;72;420;"0"
"M";"C";32;0;24;12;450;"1"
"F";"S";56;0;60;12;400;"0"
"F";"O";43;0;504;192;800;"0"
"F";"S";45;0;360;36;460;"1"
"M";"S";19;0;36;0;208;"0"
"M";"C";67;0;168;0;244;"0"
"F";"S";19;0;228;24;280;"0"
"F";"C";43;0;264;0;180;"0"
"M";"S";21;0;252;12;437;"0"
"F";"S";51;0;120;300;1700;"0"
"M";"C";25;0;0;48;220;"0"
"F";"S";30;0;24;0;180;"1"
"F";"S";37;0;156;204;1549;"1"
"F";"S";31;0;60;36;356;"0"
"F";"C";23;0;36;36;488;"0"
"M";"C";38;0;168;36;2290;"0"
"F";"S";26;0;312;24;300;"0"
"M";"C";41;0;60;0;310;"0"
"M";"S";18;0;216;12;800;"0"
"F";"S";28;0;72;48;460;"0"
"F";"S";56;0;24;0;464;"0"
"F";"S";24;0;300;12;200;"0"
"F";"O";39;0;48;72;1400;"1"
"M";"S";21;0;252;0;180;"0"
"F";"C";41;0;96;0;220;"0"
"F";"S";34;0;144;12;480;"0"
"F";"C";67;0;420;72;180;"0"
"M";"C";30;0;120;192;5000;"0"
"F";"S";46;0;360;12;800;"1"
"F";"S";18;0;108;12;200;"0"
"M";"S";31;0;276;36;1053;"0"
"F";"C";30;0;24;48;750;"0"
"F";"S";43;0;0;240;450;"0"
"M";"C";46;0;36;240;2000;"0"
"F";"S";36;0;228;156;500;"0"
"F";"S";37;0;96;12;220;"0"
"F";"S";20;0;240;12;300;"0"
"F";"S";19;0;84;0;250;"1"
"M";"S";26;0;312;48;329;"0"
"M";"C";68;0;600;216;780;"0"
"M";"C";42;0;216;36;518;"1"
"F";"S";24;0;276;0;300;"0"
"F";"S";22;0;36;0;250;"0"
"M";"C";36;0;12;60;865;"0"
