"SEX";"MARITAL_STATUS";"AGE";"QUANT_DEPENDANTS";"MONTHS_IN_RESIDENCE";"MONTHS_IN_THE_JOB";"PERSONAL_NET_INCOME";"DELINQ"
"M";"C";22;0;84;12;400;"0"
"F";"C";41;0;12;132;600;"0"
"F";"S";51;0;96;144;640;"0"
"F";"C";32;0;60;24;262;"0"
"F";"V";40;0;24;24;201;"1"
"M";"S";20;0;12;12;243;"0"
"F";"O";27;0;264;12;879;"0"
"F";"C";20;0;36;12;441;"0"
"F";"D";40;0;24;0;900;"1"
"F";"V";75;0;204;288;506;"0"
"M";"S";18;0;216;24;223;"1"
"M";"C";35;0;96;12;651;"0"
"F";"S";33;0;396;156;1800;"1"
"M";"S";20;0;240;0;600;"1"
"F";"S";21;0;252;24;300;"0"
"F";"D";26;0;24;36;484;"1"
"F";"O";36;0;0;0;230;"0"
"F";"V";38;0;12;36;611;"0"
"F";"S";18;0;0;0;250;"1"
"F";"C";25;0;312;0;550;"0"
"F";"S";20;0;288;0;220;"1"
"F";"S";23;0;180;24;356;"0"
"F";"S";25;0;216;36;180;"0"
"F";"S";20;0;252;12;530;"1"
"F";"S";20;0;240;12;439;"0"
"M";"S";29;0;144;72;350;"0"
"M";"S";33;0;12;84;380;"0"
"F";"C";48;0;240;0;350;"1"
"F";"C";42;0;420;12;500;"0"
"F";"S";19;0;120;12;200;"0"
"F";"C";34;0;12;36;3667;"1"
"F";"C";35;0;72;96;700;"1"
"F";"S";25;0;144;24;330;"0"
"M";"C";69;0;192;60;3700;"0"
"F";"S";45;0;72;0;700;"0"
"M";"C";30;0;24;24;545;"0"
"M";"S";19;0;228;0;180;"1"
"F";"S";38;0;168;60;873;"0"
"F";"C";51;0;12;36;1200;"0"
"F";"S";44;0;528;180;590;"0"
"F";"C";44;0;504;264;400;"0"
"F";"S";20;0;36;36;712;"0"
"F";"C";40;0;60;180;600;"0"
"F";"S";31;0;12;48;180;"0"
"F";"D";44;0;108;276;600;"0"
"F";"D";64;0;108;12;364;"0"
"F";"S";20;0;24;12;400;"0"
"F";"S";19;0;12;12;360;"1"
"M";"D";44;0;12;12;458;"1"
"F";"C";66;0;360;12;180;"0"
"F";"S";29;0;240;60;280;"0"
"M";"O";43;0;516;156;285;"0"
"F";"C";46;0;12;0;400;"0"
"M";"C";66;0;540;144;1000;"0"
"F";"S";31;0;12;228;229;"1"
"F";"C";31;0;120;60;600;"0"
"F";"S";20;0;216;0;179;"1"
"F";"S";39;0;84;72;215;"0"
"M";"S";30;0;60;0;300;"0"
"F";"C";31;0;12;72;250;"0"
"F";"S";20;0;168;156;260;"0"
"M";"S";27;0;84;0;220;"0"
"M";"D";57;0;240;108;538;"0"
"F";"S";29;0;36;72;681;"0"
"F";"S";40;0;96;12;269;"0"
"F";"S";19;0;228;0;350;"1"
"M";"C";40;0;96;12;600;"0"
"M";"S";19;0;180;0;252;"0"
"M";"S";42;0;60;0;2000;"0"
"F";"C";25;0;60;60;315;"0"
"F";"S";39;0;180;0;400;"0"
"F";"V";38;0;72;60;644;"0"
"F";"C";25;0;36;0;278;"1"
"F";"S";41;0;480;0;200;"0"
"F";"S";20;0;240;12;600;"0"
"F";"S";23;0;276;36;231;"0"
"F";"S";38;0;84;12;270;"1"
"F";"C";43;0;216;204;1400;"0"
"M";"C";67;0;120;12;180;"0"
"F";"C";41;0;504;12;313;"0"
"M";"C";31;0;12;12;358;"0"
"F";"C";55;0;120;0;300;"0"
"M";"S";20;0;252;12;433;"0"
"F";"D";37;0;48;24;400;"0"
"F";"C";49;0;480;24;200;"0"
"M";"O";61;0;36;12;1354;"1"
"F";"C";43;0;12;0;0;"0"
"F";"O";18;0;84;0;0;"0"
"F";"S";20;0;240;0;313;"0"
"F";"S";57;0;24;24;500;"0"
"M";"S";48;0;120;72;450;"0"
"M";"S";27;0;24;12;461;"0"
"F";"C";36;0;12;24;658;"0"
"F";"S";37;0;72;36;832;"0"
"M";"C";37;0;360;276;642;"0"
"F";"C";25;0;24;36;400;"1"
"F";"S";19;0;168;0;210;"0"
"F";"C";22;0;24;12;350;"0"
"F";"S";19;0;12;0;209;"0"
"F";"S";20;0;48;24;480;"1"
"M";"C";57;0;180;48;5700;"0"
"F";"C";28;0;72;24;577;"0"
"M";"C";28;0;324;48;483;"0"
"M";"C";34;0;408;48;448;"0"
"F";"S";29;0;12;24;300;"0"
"F";"S";20;0;180;12;200;"0"
"F";"V";64;0;600;228;644;"0"
"M";"S";47;0;72;120;750;"1"
"F";"S";22;0;264;24;615;"0"
"F";"V";36;0;24;0;673;"1"
"M";"C";41;0;144;72;1500;"0"
"F";"C";39;0;72;120;1200;"0"
"F";"S";31;0;36;0;300;"1"
"M";"C";31;0;12;36;657;"1"
"F";"S";46;0;480;24;447;"1"
"F";"S";29;0;348;24;500;"0"
"M";"S";40;0;432;60;320;"0"
"F";"S";64;0;48;0;675;"0"
"F";"S";19;0;240;12;415;"0"
"F";"S";19;0;228;12;227;"1"
"F";"C";36;0;48;12;539;"0"
"M";"S";19;0;228;12;278;"1"
"F";"C";29;0;324;24;671;"0"
"M";"C";27;0;240;24;1363;"0"
"M";"S";18;0;216;12;449;"1"
"M";"C";57;0;108;276;600;"0"
"M";"C";27;0;120;120;1200;"0"
"F";"S";53;0;252;0;990;"0"
"F";"V";43;0;276;0;347;"1"
"F";"C";65;0;300;0;350;"0"
"M";"S";20;0;12;12;250;"1"
"F";"S";33;0;84;24;2000;"0"
"F";"S";30;0;132;0;600;"0"
"F";"O";18;0;0;12;450;"1"
"M";"C";62;0;240;444;7369;"0"
"F";"S";51;0;240;24;250;"1"
"F";"C";39;0;60;120;2000;"0"
"M";"S";19;0;96;0;500;"0"
"M";"C";51;0;156;12;1516;"0"
"F";"C";21;0;12;36;300;"1"
"M";"S";22;0;264;60;310;"0"
"F";"C";40;0;192;24;240;"1"
"M";"C";43;0;480;60;530;"0"
"F";"S";20;0;12;60;500;"0"
"F";"V";49;0;228;0;931;"0"
"F";"C";38;0;60;24;350;"0"
"M";"S";21;0;12;12;199;"1"
"M";"C";33;0;132;12;213;"0"
"F";"C";26;0;240;12;600;"0"
"M";"S";21;0;252;24;209;"0"
"M";"S";29;0;120;0;360;"0"
"F";"S";21;0;252;12;300;"1"
"F";"V";56;0;108;48;450;"0"
"F";"C";23;0;120;0;300;"1"
"F";"S";38;0;36;12;1125;"0"
"F";"O";65;0;180;144;1200;"0"
"F";"S";21;0;252;12;342;"0"
"F";"C";49;0;540;12;238;"0"
"F";"C";47;0;84;60;220;"0"
"F";"S";33;0;48;0;700;"0"
"M";"S";19;0;84;96;240;"0"
"M";"C";41;0;168;228;1200;"0"
"M";"S";18;0;0;24;220;"0"
"M";"S";25;0;144;0;290;"0"
"F";"C";31;0;36;120;1000;"0"
"F";"C";41;0;60;120;551;"0"
"M";"S";23;0;12;12;180;"0"
"M";"S";19;0;144;0;260;"0"
"F";"C";19;0;12;12;360;"1"
"M";"C";44;0;180;36;1300;"0"
"M";"S";32;0;48;0;550;"0"
"F";"C";26;0;48;84;500;"0"
"M";"C";31;0;12;24;145;"0"
"F";"S";19;0;228;12;278;"0"
"M";"D";38;0;144;252;531;"1"
"F";"S";21;0;120;0;460;"0"
"F";"D";28;0;48;120;1000;"0"
"F";"S";29;0;288;12;500;"0"
"F";"S";26;0;0;0;220;"0"
"F";"C";42;0;180;24;323;"0"
"F";"S";21;0;252;48;400;"0"
"F";"V";64;0;312;24;886;"0"
"F";"S";34;0;60;72;1100;"0"
"F";"C";35;0;420;48;350;"0"
"F";"C";47;0;72;300;1600;"0"
"M";"S";19;0;84;12;780;"1"
"F";"D";51;0;612;48;600;"0"
"M";"C";33;0;216;204;800;"1"
"F";"V";75;0;540;336;3495;"0"
"M";"C";59;0;180;0;1500;"1"
"M";"S";23;0;72;0;750;"1"
"F";"C";54;0;24;60;800;"0"
"F";"S";19;0;24;24;240;"0"
"F";"C";35;0;420;12;220;"1"
"M";"C";50;0;84;12;1300;"0"
"F";"C";33;0;72;0;400;"0"
"F";"S";18;0;216;12;338;"0"
"F";"V";28;0;72;0;200;"0"
"F";"C";23;0;144;36;300;"0"
"F";"D";50;0;36;60;800;"0"
"F";"V";38;0;12;324;360;"0"
"F";"S";18;0;216;12;400;"1"
"F";"V";58;0;12;12;180;"1"
"F";"C";50;0;24;12;100;"0"
"M";"S";27;0;192;48;250;"0"
"F";"S";21;0;24;0;200;"0"
"M";"S";22;0;12;12;577;"0"
"F";"S";24;0;240;60;400;"0"
"F";"S";37;0;96;12;220;"0"
"F";"O";39;0;156;12;320;"0"
"M";"O";38;0;120;84;2000;"0"
"F";"C";42;0;12;24;229;"0"
"F";"S";32;0;300;24;450;"1"
"F";"S";37;0;72;144;800;"0"
"F";"S";21;0;96;0;542;"0"
"F";"S";36;0;12;0;0;"1"
"M";"C";32;0;384;0;400;"1"
"F";"S";31;0;108;36;535;"0"
"M";"V";61;0;24;24;259;"0"
"M";"S";19;0;36;24;400;"1"
"F";"C";45;0;72;24;600;"0"
"F";"S";19;0;24;48;331;"0"
"M";"C";27;0;24;48;877;"0"
"F";"S";21;0;252;12;200;"0"
"F";"S";19;0;228;48;316;"0"
"F";"C";41;0;12;48;180;"0"
"F";"S";19;0;192;12;180;"0"
"F";"S";45;0;144;12;550;"0"
"F";"S";20;0;192;0;360;"0"
"F";"S";22;0;264;36;600;"1"
"F";"S";18;0;12;0;332;"1"
"F";"S";20;0;216;72;600;"1"
"F";"C";20;0;240;0;0;"0"
"F";"O";36;0;12;48;860;"1"
"M";"S";21;0;48;12;420;"0"
"F";"S";40;0;480;192;1500;"0"
"M";"O";20;0;12;12;180;"1"
"M";"S";23;0;144;24;240;"0"
"M";"D";45;0;216;288;842;"0"
"F";"S";44;0;12;120;360;"1"
"F";"D";45;0;12;24;884;"0"
"M";"S";35;0;12;36;500;"0"
"M";"C";40;0;360;264;1146;"0"
"F";"C";29;0;312;60;336;"0"
"F";"S";23;0;36;36;300;"0"
"F";"C";38;0;456;12;300;"0"
"F";"C";19;0;12;12;224;"0"
"F";"S";42;0;300;12;865;"1"
"M";"S";41;0;120;48;1074;"0"
"M";"C";83;0;144;0;1378;"0"
"M";"S";33;0;48;12;240;"1"
"F";"S";46;0;540;12;717;"0"
"F";"S";28;0;120;0;450;"0"
"M";"C";41;0;24;12;271;"0"
"M";"C";61;0;84;36;228;"0"
"M";"C";38;0;360;72;500;"0"
"M";"C";28;0;360;0;800;"0"
"F";"C";71;0;480;12;180;"0"
"F";"S";23;0;60;60;220;"0"
"F";"S";20;0;108;12;300;"0"
"F";"S";37;0;24;144;550;"0"
"F";"S";46;0;72;228;1000;"0"
"M";"C";33;0;36;180;1644;"0"
"F";"C";37;0;12;60;1500;"0"
"F";"S";20;0;252;24;200;"1"
"M";"S";28;0;12;60;580;"0"
"F";"C";45;0;180;96;1026;"0"
"M";"S";22;0;48;0;0;"0"
"F";"C";50;0;204;192;1000;"0"
"F";"S";22;0;120;0;0;"0"
"F";"C";50;0;12;84;300;"0"
"F";"C";33;0;84;12;341;"0"
"F";"S";28;0;84;12;780;"0"
"M";"S";28;0;240;36;312;"0"
"F";"S";21;0;252;0;1;"0"
"M";"S";33;0;84;60;1000;"0"
"M";"S";20;0;144;12;340;"0"
"F";"C";44;0;144;48;600;"0"
"M";"S";17;0;12;24;180;"0"
"M";"S";38;0;36;204;783;"0"
"F";"S";27;0;84;24;600;"1"
"F";"D";38;0;240;156;632;"0"
"F";"S";24;0;84;24;740;"1"
"F";"S";24;0;48;60;350;"1"
"F";"S";24;0;216;12;291;"0"
"F";"C";39;0;48;108;692;"0"
"F";"S";19;0;228;12;1000;"1"
"F";"S";23;0;36;12;300;"1"
"F";"C";45;0;144;240;5000;"1"
"F";"C";27;0;120;0;500;"0"
"M";"C";27;0;120;0;274;"0"
"F";"S";23;0;180;12;250;"0"
"F";"S";18;0;216;12;350;"0"
"F";"C";46;0;36;12;175;"0"
"F";"S";41;0;1188;24;180;"1"
"F";"S";18;0;216;36;450;"1"
"M";"C";47;0;192;0;1160;"0"
"F";"C";34;0;408;12;1700;"0"
"F";"S";21;0;192;60;226;"0"
"F";"S";20;0;216;12;350;"0"
"M";"S";36;0;12;12;350;"1"
"F";"C";27;0;12;0;200;"0"
"F";"S";33;0;180;12;180;"0"
"F";"S";25;0;60;0;201;"0"
"F";"S";22;0;264;0;208;"1"
"F";"V";41;0;360;12;300;"1"
"F";"C";36;0;432;12;200;"0"
"F";"V";59;0;180;12;320;"0"
"M";"S";38;0;456;0;270;"0"
"F";"O";28;0;24;12;900;"0"
"M";"S";38;0;0;12;545;"1"
"M";"S";20;0;36;0;200;"0"
"F";"S";24;0;0;12;240;"0"
"F";"S";18;0;48;12;300;"0"
"F";"C";25;0;312;84;681;"0"
"F";"C";51;0;12;84;694;"0"
"M";"S";34;0;60;144;3200;"0"
"F";"C";56;0;300;120;300;"0"
"M";"C";43;0;180;48;515;"0"
"F";"S";45;0;276;0;272;"0"
"F";"S";22;0;12;12;226;"0"
"F";"C";51;0;252;0;300;"0"
"M";"O";49;0;120;240;554;"0"
"F";"S";26;0;60;12;360;"1"
"F";"S";18;0;12;12;180;"1"
"F";"S";45;0;288;276;180;"0"
"F";"C";23;0;300;24;250;"1"
"F";"C";38;0;180;132;2500;"0"
"M";"V";74;0;12;0;360;"1"
"M";"C";43;0;0;180;400;"0"
