"price";"bedrooms";"bathrooms";"sqft_living";"sqft_lot";"floors";"lat";"long";"yr_built"
269000;4;1,75;1490;10000;1;47,3099;-122,379;1969
239900;4;1,75;1570;18730;1;47,3999;-122,301;1960
169950;3;1;1180;9832;1;47,3845;-122,085;1970
340000;3;1,75;1960;8136;1;47,5208;-122,364;1948
327000;3;1,5;1510;344124;1;47,2156;-122,029;1964
565000;4;2,75;3130;139392;2;47,3535;-122,19;1981
357500;3;1;1070;10125;1;47,7012;-122,167;1961
290000;3;1,5;1950;15954;1;47,336;-122,319;1959
530000;2;1,75;2120;7680;1;47,5304;-122,374;1948
575000;4;2,5;2500;4945;2;47,5185;-121,885;2013
790000;4;1,75;1820;6137;1,5;47,6681;-122,36;1911
530000;4;2;2150;14161;1;47,3376;-122,323;1966
785000;4;3,5;3070;4684;2;47,5316;-122,076;2009
329000;3;1;1200;5650;1,5;47,5065;-122,249;1928
330000;2;1;700;4000;1;47,5487;-122,391;1943
305000;4;2,5;2320;4683;2;47,3349;-122,059;2007
310000;2;1,5;1040;83199;1;47,4222;-122,443;1965
268500;4;1,75;1670;8000;1;47,3193;-122,383;1974
215000;3;1;1150;7560;1;47,4613;-122,184;1958
220000;5;1,5;1830;94960;1,5;47,4218;-122,218;1929
1320000;4;5,25;6110;10369;2;47,5285;-122,135;2005
350000;3;1,75;1900;10225;1;47,4781;-122,357;1963
592350;2;2;1570;4665;1;47,709;-122,017;2006
145000;3;1;1010;5490;1;47,4762;-122,293;1954
515000;4;3;1820;8261;1;47,7197;-122,219;1969
345000;4;2,25;2320;7350;2;47,4512;-122,131;1973
316000;3;2,25;1900;7479;2;47,3495;-122,037;1992
597500;3;2;2150;5400;1,5;47,555;-122,379;1911
325000;3;1;1300;8879;1;47,7465;-122,326;1950
272000;3;1,5;1760;9600;1;47,4085;-122,195;1966
357000;5;2,5;2750;12350;2;47,419;-122,206;1987
435000;4;2;1650;4745;1;47,7359;-122,18;1972
266000;4;2,25;1860;12693;1;47,3114;-122,395;1978
410000;2;1,75;870;4000;1;47,5657;-122,376;1941
476000;3;2,25;1630;3070;2;47,6785;-122,03;2004
5e+05;4;2,5;2840;18001;2;47,7359;-121,962;1994
625000;5;2,75;2910;85377;1;47,48;-122,03;1966
285000;3;1,5;1380;12196;1;47,3204;-122,322;1967
310000;4;1;1030;5750;1;47,553;-122,37;1971
619400;4;2;2090;3610;1,5;47,6881;-122,313;1927
314000;3;1,75;1350;217852;1;47,2628;-122,03;1953
557500;3;2;2510;35255;1;47,4012;-122,025;1994
879000;3;3;3030;5156;1,5;47,647;-122,369;1929
460000;3;2,5;1610;2527;2;47,5674;-122,29;2005
250000;3;1,5;1170;9848;1;47,7612;-122,234;1963
460000;4;2,5;4190;7504;2;47,4394;-122,114;2004
622500;3;2,5;2290;14374;2;47,5886;-122,074;1983
615000;4;1,75;2300;11700;1;47,6331;-122,094;1977
524000;3;2,25;1370;1007;3;47,6682;-122,361;2009
755000;2;2,5;1360;2070;2;47,6423;-122,329;1999
204950;2;0,75;1130;11429;1;47,4526;-122,284;1956
245000;3;1;1010;9678;1;47,4396;-122,285;1955
650000;5;2,25;2400;13450;1;47,6007;-122,117;1957
550000;4;2,5;2470;5954;2;47,7685;-122,236;2013
427000;3;2,5;2620;108464;2;47,4583;-122,036;1990
550000;3;2,5;2510;5400;2;47,5204;-122,206;1992
350000;4;2,5;2560;5428;2;47,3835;-122,095;2012
325000;4;2,5;2230;8500;2;47,2082;-122,009;1994
921000;4;1,5;2220;9496;1;47,6233;-122,206;1954
885000;3;2,25;2940;6500;3;47,5482;-122,388;2014
470000;3;1,5;1510;8000;1;47,5865;-122,135;1956
289000;3;2;1680;8424;1;47,1969;-122,011;1993
290000;3;1,75;1590;13500;1;47,3621;-122,031;1980
840000;3;3;3570;6250;2;47,5624;-122,399;1985
330000;5;3;2100;7715;1;47,4866;-122,319;2013
409950;3;2,5;2655;5080;2;47,2972;-122,348;2013
409000;2;1;890;3271;1;47,5631;-122,381;1918
281700;3;1;1570;8316;1;47,3943;-122,198;1962
220000;3;1;1060;9126;1;47,201;-121,999;1956
685000;3;2,5;2520;10175;1;47,5652;-122,089;1979
