"SEX";"MARITAL_STATUS";"AGE";"QUANT_DEPENDANTS";"MONTHS_IN_RESIDENCE";"MONTHS_IN_THE_JOB";"PERSONAL_NET_INCOME";"DELINQ"
"M";"S";19;0;12;12;268;"0"
"F";"S";28;0;120;0;500;"0"
"M";"C";36;0;36;0;270;"1"
"F";"D";39;0;180;72;803;"0"
"F";"S";22;0;264;12;230;"1"
"M";"D";30;0;360;12;240;"0"
"M";"S";40;0;120;252;771;"0"
"F";"S";32;0;0;48;220;"0"
"F";"V";66;0;480;72;300;"0"
"F";"S";40;0;132;60;357;"0"
"M";"S";45;0;48;192;5000;"0"
"M";"S";27;0;24;12;240;"1"
"F";"S";37;0;36;96;227;"0"
"M";"C";48;0;480;24;532;"0"
"F";"C";40;0;48;12;600;"0"
"F";"S";36;0;12;144;450;"1"
"M";"C";30;0;120;84;220;"0"
"F";"O";53;0;624;72;2000;"0"
"M";"S";29;0;24;108;1295;"0"
"M";"S";20;0;12;12;850;"1"
"M";"C";31;0;36;144;1300;"0"
"F";"S";18;0;36;36;569;"0"
"M";"C";36;0;252;12;1074;"0"
"F";"C";52;0;120;72;776;"0"
"F";"S";37;0;192;36;500;"0"
"M";"C";31;0;48;36;349;"0"
"F";"S";42;0;480;240;180;"1"
"F";"S";45;0;96;60;350;"0"
"F";"O";24;0;288;12;400;"1"
"F";"O";20;0;84;84;213;"0"
"F";"S";21;0;24;12;246;"0"
"F";"C";57;0;240;0;0;"0"
"F";"S";41;0;132;12;1200;"0"
"F";"C";32;0;180;12;260;"0"
"M";"S";26;0;24;36;1351;"0"
"M";"C";31;0;12;12;2000;"0"
"F";"C";43;0;120;0;0;"0"
"F";"S";18;0;216;0;0;"0"
"M";"C";52;0;240;192;690;"0"
"F";"C";34;0;12;144;380;"0"
"F";"C";39;0;192;12;500;"0"
"M";"S";28;0;192;24;1400;"0"
"F";"C";49;0;12;360;1060;"0"
"F";"O";42;0;348;0;350;"0"
"F";"C";50;0;276;156;800;"1"
"M";"S";19;0;24;12;200;"0"
"M";"C";31;0;12;24;145;"0"
"F";"S";20;0;240;0;200;"0"
"F";"S";33;0;24;24;456;"0"
"F";"S";22;0;36;12;408;"0"
"F";"C";31;0;240;24;450;"0"
"M";"S";21;0;108;24;356;"1"
"F";"C";52;0;60;0;6500;"0"
"F";"S";23;0;36;12;250;"1"
"F";"C";35;0;36;192;300;"0"
"M";"C";46;0;24;300;1920;"0"
"M";"C";36;0;132;120;1140;"0"
"F";"S";21;0;24;0;300;"0"
"F";"C";53;0;204;288;654;"0"
"M";"C";43;0;36;252;1200;"0"
"M";"C";51;0;120;120;2000;"0"
"M";"S";30;0;276;84;430;"0"
"F";"V";46;0;276;0;180;"1"
"F";"C";61;0;744;144;540;"0"
"F";"S";33;0;396;24;600;"0"
"F";"C";40;0;72;12;238;"1"
"M";"C";68;0;300;144;1293;"0"
"M";"S";23;0;24;24;688;"1"
"F";"S";20;0;240;24;390;"0"
"M";"S";28;0;0;0;513;"0"
"M";"C";22;0;36;12;286;"0"
"F";"C";33;0;396;12;80000;"0"
"F";"C";39;0;12;12;290;"1"
"F";"S";22;0;24;12;340;"0"
"F";"V";54;0;24;156;290;"0"
"F";"C";50;0;300;12;745;"0"
"F";"C";31;0;360;0;0;"0"
"F";"S";50;0;204;96;400;"0"
"M";"S";22;0;264;12;275;"1"
"F";"S";50;0;120;120;817;"0"
"M";"S";18;0;12;0;270;"1"
"F";"S";21;0;144;12;195;"0"
"M";"S";28;0;336;36;489;"1"
"M";"C";38;0;372;36;490;"0"
"F";"C";39;0;120;156;822;"0"
"M";"C";59;0;240;108;778;"1"
"F";"S";26;0;300;36;600;"0"
"M";"S";38;0;204;12;380;"0"
"F";"O";32;0;60;36;500;"0"
"M";"S";22;0;240;12;664;"0"
"F";"S";33;0;0;0;600;"0"
"F";"C";22;0;84;0;180;"1"
"F";"O";45;0;540;120;700;"0"
"F";"S";23;0;60;0;1113;"0"
"F";"S";25;0;12;48;1850;"0"
"M";"V";50;0;600;48;256;"0"
"F";"S";31;0;120;12;220;"0"
"F";"S";47;0;264;24;360;"1"
"M";"C";47;0;516;12;220;"0"
"F";"O";37;0;36;36;1000;"0"
