"price";"bedrooms";"bathrooms";"sqft_living";"sqft_lot";"floors";"condition";"lat";"long"
530000;3;2,5;2160;9063;2;3;47,7296;-122,333
382000;3;2,25;1750;15528;1;3;47,7739;-122,274
569950;5;2,75;2510;28185;1;4;47,7719;-122,282
280000;4;2,25;1600;7916;2;3;47,194;-121,981
305000;4;2,5;2230;6487;2;3;47,3287;-122,169
679000;4;3,5;3420;49223;2;3;47,3534;-121,992
338000;3;2;2440;23512;1;3;47,4594;-122,326
530000;5;2,75;3230;13572;1;3;47,4393;-122,347
406000;3;1;1090;11292;1;4;47,7429;-122,358
633634;4;3,5;2960;6000;2;3;47,5183;-121,886
349000;2;1;1150;7552;1;3;47,7215;-122,323
280000;3;2,25;1430;7222;2;3;47,5112;-122,19
490600;3;2,5;3316;11447;2;3;47,3036;-122,34
535000;4;2,5;2610;4595;2;3;47,7728;-122,235
209000;3;2;1230;1340;2;3;47,526;-122,361
530000;3;0,75;920;20412;1;5;47,4781;-122,49
572000;3;2,75;2200;3885;2;3;47,6171;-122,028
168000;2;2,5;1160;2174;2;3;47,5264;-122,366
450000;2;1,5;960;1000;2;3;47,6489;-122,335
219900;4;1,5;1120;5427;1;3;47,3628;-122,087
885000;3;2,25;2940;6500;3;3;47,5482;-122,388
975000;3;2,5;1660;1344;3;3;47,644;-122,327
397500;3;2;2130;8225;1;4;47,4396;-122,162
285000;4;1,75;1440;6720;1;5;47,4571;-122,345
260000;3;2;2710;5000;2;3;47,5188;-122,373
785000;4;1,5;2220;4000;1,5;3;47,6564;-122,325
216500;2;1,75;1390;4482;1;4;47,3785;-122,32
1060000;4;3,5;4220;8417;3;3;47,5869;-122,054
740000;5;3,5;2720;11454;2;3;47,6466;-122,119
505000;2;1;810;5060;1;3;47,5635;-122,394
219000;3;1,5;1740;5200;1;4;47,3657;-122,094
3e+05;4;1;1370;8499;1;3;47,736;-122,301
550000;3;2;1810;12825;1;4;47,5953;-122,14
200500;3;2;1280;14972;1;3;47,4129;-122,209
870000;5;3,5;4495;10079;2;3;47,7339;-122,209
499000;2;1,5;1540;6549;2;3;47,7189;-122,353
345000;2;1;1350;4494;1;3;47,5315;-122,38
390000;3;2,5;2250;8076;2;3;47,3667;-122,041
279000;3;2,5;2010;11618;2;3;47,1956;-121,985
817000;3;1,5;2310;3360;1,5;3;47,6431;-122,359
630000;2;2,5;2290;3507;2;3;47,5545;-122,002
267000;3;2,25;1584;2800;2;3;47,3454;-122,214
460000;4;2,75;3460;13168;2;4;47,2046;-121,996
410000;3;1,5;1750;32500;1;4;47,5316;-121,959
576000;4;2,5;3340;6924;2;3;47,495;-122,149
747000;3;1,5;1710;5120;2;4;47,6801;-122,305
420000;3;2,5;2390;3903;2;3;47,7515;-122,174
272000;3;2;1380;7476;1;3;47,3336;-122,272
590000;3;2,75;2550;54014;2;4;47,7596;-122,117
499950;2;2,25;1060;1208;2;3;47,6371;-122,327
382495;3;2,5;1760;5390;1;3;47,3482;-122,042
840000;4;1,75;2330;4000;2;5;47,666;-122,289
277700;2;1,5;1240;1055;2;3;47,6104;-122,112
295000;3;2;1760;6092;1;3;47,3838;-122,184
190000;3;1;950;7610;1;3;47,3188;-122,174
578000;4;2,5;2070;5415;2;3;47,5706;-122,006
963990;4;3,25;3830;6765;2;3;47,685;-122,016
4e+05;5;2,75;2470;19200;1;5;47,4496;-122,083
340000;5;2;1750;8220;1;3;47,7694;-122,321
287500;5;2;2020;67953;1,5;4;47,4891;-122,263
476000;4;2,5;2740;33158;2;3;47,3333;-122,074
345000;3;1,5;1030;6969;1;4;47,5492;-122,3
695000;3;2;2560;6800;1;4;47,5506;-122,395
469000;4;2,75;3550;13938;1;5;47,425;-122,283
275000;3;1;1190;27215;1;5;47,4978;-122,115
315001;3;1,75;1500;10230;1;2;47,4349;-122,168
379000;4;2,5;2570;10155;2;3;47,3842;-122,17
530000;3;2,25;2010;11817;2;4;47,5665;-122,023
818900;3;1;1080;4120;1;3;47,6771;-122,319
579950;4;2,5;2880;213444;1;5;47,2887;-122,109
770000;5;2,5;3000;7912;1;3;47,6765;-122,175
279000;4;1,75;1840;7275;1;3;47,4002;-122,189
3e+05;4;2;2050;8750;1;3;47,4324;-122,171
375000;3;3,25;2760;6420;2;3;47,3895;-122,221
